# generated_utc	2026-08-14T18:12:44+00:00
# script	probe_v9.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	47
family_id	target_neuron	certificate	count	realised_n_tok	member_route_ids	member_source_indices	recurrent
EXACT-001	541	 up and down	11	3	["J5-541-024", "J5-541-027", "J5-541-033", "J5-541-035", "J5-541-036", "J5-541-042", "J5-541-049", "J5-541-056", "J5-541-060", "J5-541-075", "J5-541-078"]	[24, 27, 33, 35, 36, 42, 49, 56, 60, 75, 78]	1
EXACT-002	541	 now and then	10	3	["J5-541-005", "J5-541-012", "J5-541-023", "J5-541-026", "J5-541-029", "J5-541-034", "J5-541-041", "J5-541-045", "J5-541-050", "J5-541-055"]	[5, 12, 23, 26, 29, 34, 41, 45, 50, 55]	1
EXACT-003	541	 here and there	8	3	["J5-541-002", "J5-541-006", "J5-541-038", "J5-541-043", "J5-541-052", "J5-541-058", "J5-541-061", "J5-541-062"]	[2, 6, 38, 43, 52, 58, 61, 62]	1
EXACT-004	541	 one by one	3	3	["J5-541-007", "J5-541-015", "J5-541-069"]	[7, 15, 69]	1
EXACT-005	541	 right and left	3	3	["J5-541-003", "J5-541-017", "J5-541-028"]	[3, 17, 28]	1
EXACT-006	541	 old and new	2	3	["J5-541-019", "J5-541-037"]	[19, 37]	1
EXACT-007	541	 one after the other	2	4	["J5-541-051", "J5-541-070"]	[51, 70]	1
EXACT-008	541	 this or that	2	3	["J5-541-022", "J5-541-077"]	[22, 77]	1
EXACT-009	541	 Daggoo, straining forwards and backwards	1	8	["J5-541-039"]	[39]	0
EXACT-010	541	 East and West	1	3	["J5-541-068"]	[68]	0
EXACT-011	541	 One after another	1	3	["J5-541-072"]	[72]	0
EXACT-012	541	 again and again	1	3	["J5-541-066"]	[66]	0
EXACT-013	541	 and thus round and round	1	5	["J5-541-047"]	[47]	0
EXACT-014	541	 better or for worse	1	4	["J5-541-046"]	[46]	0
EXACT-015	541	 by and by	1	3	["J5-541-010"]	[10]	0
EXACT-016	541	 direct and indirect	1	3	["J5-541-020"]	[20]	0
EXACT-017	541	 each and every	1	3	["J5-541-064"]	[64]	0
EXACT-018	541	 east and west	1	3	["J5-541-063"]	[63]	0
EXACT-019	541	 from first to last	1	4	["J5-541-040"]	[40]	0
EXACT-020	541	 hair braided and coiled round and round	1	9	["J5-541-025"]	[25]	0
EXACT-021	541	 hand to hand	1	3	["J5-541-021"]	[21]	0
EXACT-022	541	 in and out	1	3	["J5-541-074"]	[74]	0
EXACT-023	541	 light, we rolled over from each other, this way and that	1	13	["J5-541-011"]	[11]	0
EXACT-024	541	 male and female	1	3	["J5-541-057"]	[57]	0
EXACT-025	541	 right to left	1	3	["J5-541-013"]	[13]	0
EXACT-026	541	 seldom or never	1	3	["J5-541-014"]	[14]	0
EXACT-027	541	 served us night after night	1	5	["J5-541-030"]	[30]	0
EXACT-028	541	 shoulder to shoulder	1	3	["J5-541-053"]	[53]	0
EXACT-029	541	 side to side	1	3	["J5-541-080"]	[80]	0
EXACT-030	541	 top to bottom	1	3	["J5-541-018"]	[18]	0
EXACT-031	541	 true or false	1	3	["J5-541-067"]	[67]	0
EXACT-032	541	 water there, wheeling round and round	1	8	["J5-541-073"]	[73]	0
EXACT-033	541	 whenever and wherever	1	3	["J5-541-031"]	[31]	0
EXACT-034	541	, both large and small	1	5	["J5-541-016"]	[16]	0
EXACT-035	541	, day after day	1	4	["J5-541-032"]	[32]	0
EXACT-036	541	, go round and round	1	5	["J5-541-071"]	[71]	0
EXACT-037	541	, you can open and shut	1	6	["J5-541-065"]	[65]	0
EXACT-038	541	, zone by zone	1	4	["J5-541-008"]	[8]	0
EXACT-039	541	By and by	1	3	["J5-541-044"]	[44]	0
EXACT-040	541	Human or animal	1	3	["J5-541-048"]	[48]	0
EXACT-041	541	Now and then	1	3	["J5-541-059"]	[59]	0
EXACT-042	541	One after the other	1	4	["J5-541-079"]	[79]	0
EXACT-043	541	Right and left	1	3	["J5-541-001"]	[1]	0
EXACT-044	541	Wave after wave	1	3	["J5-541-009"]	[9]	0
EXACT-045	541	You and I	1	3	["J5-541-004"]	[4]	0
EXACT-046	541	now and then	1	3	["J5-541-054"]	[54]	0
EXACT-047	541	y Dick swam swiftly round and round	1	8	["J5-541-076"]	[76]	0
