idx	stored	current	delta	agree	sentence
0	1888	1888	0.290118	1	Mellybean
1	170	170	0.062140	1	Where the cosmic winds whisper secrets.
2	1888	1888	0.644797	1	A forgotten star chart.
3	1888	1888	0.629413	1	The echo of a distant song.
4	1888	1888	0.535927	1	A planet made of glass.
5	2776	2776	0.042065	1	Some years ago—never mind how long precisely—having little or no money in my purse, and nothing particular to interest m
6	1888	1888	0.242021	1	It is a way I have of driving off the spleen and regulating the circulation.
7	1594	1594	0.271119	1	Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find
8	2659	2659	0.332373	1	This is my substitute for pistol and ball.
9	682	682	0.186038	1	With a philosophical flourish Cato throws himself upon his sword; I quietly take to the ship.
10	192	192	0.200190	1	There is nothing surprising in this.
11	1790	1790	0.163159	1	If they but knew it, almost all men in their degree, some time or other, cherish very nearly the same feelings towards t
12	1308	1308	0.456776	1	There now is your insular city of the Manhattoes, belted round by wharves as Indian isles by coral reefs—commerce surrou
13	541	541	0.544154	1	Right and left, the streets take you waterward.
14	2469	2469	0.219650	1	Its extreme downtown is the battery, where that noble mole is washed by waves, and cooled by breezes, which a few hours 
15	945	945	0.002503	1	Look at the crowds of water-gazers there.
16	1888	1888	0.785527	1	Circumambulate the city of a dreamy Sabbath afternoon.
17	2503	2503	0.726386	1	Go from Corlears Hook to Coenties Slip, and from thence, by Whitehall, northward.
18	2707	2707	0.056696	1	What do you see?—Posted like silent sentinels all around the town, stand thousands upon thousands of mortal men fixed in
19	614	614	0.549395	1	Some leaning against the spiles; some seated upon the pier-heads; some looking over the bulwarks of ships from China; so
20	1098	1098	0.107981	1	But these are all landsmen; of week days pent up in lath and plaster—tied to counters, nailed to benches, clinched to de
21	674	674	0.031386	1	Are the green fields gone?
22	107	107	0.169099	1	here come more crowds, pacing straight for the water, and seemingly bound for a dive.
23	2073	2073	0.180889	1	Nothing will content them but the extremest limit of the land; loitering under the shady lee of yonder warehouses will n
24	2874	2874	0.274694	1	They must get just as nigh the water as they possibly can without falling in.
25	2705	2705	0.220082	1	And there they stand—miles of them—leagues.
26	1888	1888	0.347204	1	Inlanders all, they come from lanes and alleys, streets and avenues—north, east, south, and west.
27	1726	1726	0.033899	1	Yet here they all unite.
28	674	674	0.052260	1	Tell me, does the magnetic virtue of the needles of the compasses of all those ships attract them thither?
29	1821	1821	0.073609	1	Say you are in the country; in some high land of lakes.
30	2874	2874	0.173095	1	Take almost any path you please, and ten to one it carries you down in a dale, and leaves you there by a pool in the str
31	698	698	0.036584	1	There is magic in it.
32	1594	1594	0.513152	1	Let the most absent-minded of men be plunged in his deepest reveries—stand that man on his legs, set his feet a-going, a
33	2241	2241	0.340418	1	Should you ever be athirst in the great American desert, try this experiment, if your caravan happen to be supplied with
34	1600	1600	0.289237	1	Yes, as every one knows, meditation and water are wedded for ever.
35	1888	1888	0.286565	1	But here is an artist.
36	2659	2659	1.549712	1	He desires to paint you the dreamiest, shadiest, quietest, most enchanting bit of romantic landscape in all the valley o
37	1888	1888	0.475698	1	What is the chief element he employs?
38	548	548	1.652588	1	There stand his trees, each with a hollow trunk, as if a hermit and a crucifix were within; and here sleeps his meadow, 
39	2073	2073	0.352945	1	Deep into distant woodlands winds a mazy way, reaching to overlapping spurs of mountains bathed in their hill-side blue.
40	1147	1147	0.603420	1	But though the picture lies thus tranced, and though this pine-tree shakes down its sighs like leaves upon this shepherd
41	1278	1278	0.214692	1	Go visit the Prairies in June, when for scores on scores of miles you wade knee-deep among Tiger-lilies—what is the one 
42	2208	2208	0.061275	1	Were Niagara but a cataract of sand, would you travel your thousand miles to see it?
43	1642	1642	0.398631	1	Why did the poor poet of Tennessee, upon suddenly receiving two handfuls of silver, deliberate whether to buy him a coat
44	429	429	0.266227	1	Why is almost every robust healthy boy with a robust healthy soul in him, at some time or other crazy to go to sea?
45	2869	2869	0.390669	1	Why upon your first voyage as a passenger, did you yourself feel such a mystical vibration, when first told that you and
46	2029	2029	0.288639	1	Why did the old Persians hold the sea holy?
47	1790	1790	0.281297	1	Why did the Greeks give it a separate deity, and own brother of Jove?
48	3017	3017	0.128879	1	Surely all this is not without meaning.
49	2469	2469	0.019922	1	And still deeper the meaning of that story of Narcissus, who because he could not grasp the tormenting, mild image he sa
50	1888	1888	0.202240	1	But that same image, we ourselves see in all rivers and oceans.
51	1888	1888	0.179313	1	It is the image of the ungraspable phantom of life; and this is the key to it all.
52	2315	2315	0.656748	1	Now, when I say that I am in the habit of going to sea whenever I begin to grow hazy about the eyes, and begin to be ove
53	2761	2761	0.045086	1	For to go as a passenger you must needs have a purse, and a purse is but a rag unless you have something in it.
54	8	8	0.043381	1	Besides, passengers get sea-sick—grow quarrelsome—don’t sleep of nights—do not enjoy themselves much, as a general thing
55	405	405	0.371183	1	I abandon the glory and distinction of such offices to those who like them.
56	2286	2286	0.289690	1	For my part, I abominate all honorable respectable toils, trials, and tribulations of every kind whatsoever.
57	1718	1718	0.383122	1	It is quite as much as I can do to take care of myself, without taking care of ships, barques, brigs, schooners, and wha
58	1594	1594	0.250526	1	And as for going as cook,—though I confess there is considerable glory in that, a cook being a sort of officer on ship-b
59	1640	1640	0.005254	1	It is out of the idolatrous dotings of the old Egyptians upon broiled ibis and roasted river horse, that you see the mum
60	1790	1790	0.034412	1	No, when I go to sea, I go as a simple sailor, right before the mast, plumb down into the forecastle, aloft there to the
61	1888	1888	0.060907	1	True, they rather order me about some, and make me jump from spar to spar, like a grasshopper in a May meadow.
62	2861	2861	0.155720	1	And at first, this sort of thing is unpleasant enough.
63	1055	1055	0.204227	1	It touches one’s sense of honor, particularly if you come of an old established family in the land, the Van Rensselaers,
64	2874	2874	0.559672	1	And more than all, if just previous to putting your hand into the tar-pot, you have been lording it as a country schoolm
65	1888	1888	0.164570	1	The transition is a keen one, I assure you, from a schoolmaster to a sailor, and requires a strong decoction of Seneca a
66	1780	1780	0.257202	1	But even this wears off in time.
67	1888	1888	0.076955	1	What of it, if some old hunks of a sea-captain orders me to get a broom and sweep down the decks?
68	674	674	0.140471	1	What does that indignity amount to, weighed, I mean, in the scales of the New Testament?
69	2073	2073	0.915803	1	Do you think the archangel Gabriel thinks anything the less of me, because I promptly and respectfully obey that old hun
70	1843	1843	0.079512	1	Well, then, however the old sea-captains may order me about—however they may thump and punch me about, I have the satisf
71	84	84	0.016287	1	Again, I always go to sea as a sailor, because they make a point of paying me for my trouble, whereas they never pay pas
72	2528	2528	0.388008	1	On the contrary, passengers themselves must pay.
73	1642	1642	0.357735	1	And there is all the difference in the world between paying and being paid.
74	1888	1888	0.198840	1	The act of paying is perhaps the most uncomfortable infliction that the two orchard thieves entailed upon us.
75	1888	1888	0.046306	1	But _being paid_,—what will compare with it?
76	2874	2874	0.155700	1	The urbane activity with which a man receives money is really marvellous, considering that we so earnestly believe money
