# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	98
branch	variant	carrier_id	n	retained_541_n	retained_541_rate	raw_completion_541_mean	raw_completion_541_median	raw_completion_increment_mean	raw_completion_increment_median	peak_541_mean	peak_541_median	signed_541_margin_mean	signed_541_margin_median	completion_is_target_peak_n	member_case_ids
CARRIER_CONTROL	CARRIER_ONLY	THEY_SAID	1	0	0.0	-0.03838	-0.03838	0.094814	0.094814	-0.000102	-0.000102	-2.360972	-2.360972	0	["CARRIER_CONTROL__THEY_SAID"]
CARRIER_CONTROL	CARRIER_ONLY	THE_PHRASE	1	0	0.0	-0.055584	-0.055584	0.002844	0.002844	-0.000102	-0.000102	-3.233247	-3.233247	0	["CARRIER_CONTROL__THE_PHRASE"]
CONNECTOR_MATRIX	AFTER	BARE	6	0	0.0	1.207177	1.267354	1.301561	1.397496	1.207177	1.267354	-1.590824	-1.64402	6	["CONNECTOR_MATRIX__UP_DOWN__AFTER__BARE__NONE", "CONNECTOR_MATRIX__NOW_THEN__AFTER__BARE__NONE", "CONNECTOR_MATRIX__HERE_THERE__AFTER__BARE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__AFTER__BARE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__AFTER__BARE__NONE", "CONNECTOR_MATRIX__EAST_WEST__AFTER__BARE__NONE"]
CONNECTOR_MATRIX	AFTER	THEY_SAID	6	0	0.0	0.991608	0.97998	1.044806	1.049103	1.015928	0.97998	-1.600257	-1.380891	5	["CONNECTOR_MATRIX__UP_DOWN__AFTER__THEY_SAID__NONE", "CONNECTOR_MATRIX__NOW_THEN__AFTER__THEY_SAID__NONE", "CONNECTOR_MATRIX__HERE_THERE__AFTER__THEY_SAID__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__AFTER__THEY_SAID__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__AFTER__THEY_SAID__NONE", "CONNECTOR_MATRIX__EAST_WEST__AFTER__THEY_SAID__NONE"]
CONNECTOR_MATRIX	AFTER	THE_PHRASE	6	0	0.0	0.717286	0.625703	0.776817	0.69502	0.724062	0.625703	-2.509086	-2.607445	4	["CONNECTOR_MATRIX__UP_DOWN__AFTER__THE_PHRASE__NONE", "CONNECTOR_MATRIX__NOW_THEN__AFTER__THE_PHRASE__NONE", "CONNECTOR_MATRIX__HERE_THERE__AFTER__THE_PHRASE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__AFTER__THE_PHRASE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__AFTER__THE_PHRASE__NONE", "CONNECTOR_MATRIX__EAST_WEST__AFTER__THE_PHRASE__NONE"]
CONNECTOR_MATRIX	AFTER	V9_SPACE	6	0	0.0	1.378316	1.339767	1.473256	1.441423	1.378316	1.339767	-1.666241	-1.683285	6	["CONNECTOR_MATRIX__UP_DOWN__AFTER__V9_SPACE__NONE", "CONNECTOR_MATRIX__NOW_THEN__AFTER__V9_SPACE__NONE", "CONNECTOR_MATRIX__HERE_THERE__AFTER__V9_SPACE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__AFTER__V9_SPACE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__AFTER__V9_SPACE__NONE", "CONNECTOR_MATRIX__EAST_WEST__AFTER__V9_SPACE__NONE"]
CONNECTOR_MATRIX	AND	BARE	6	5	0.833333	3.739531	3.787998	3.765968	3.83303	3.739531	3.787998	0.609506	0.469112	6	["CONNECTOR_MATRIX__UP_DOWN__AND__BARE__NONE", "CONNECTOR_MATRIX__NOW_THEN__AND__BARE__NONE", "CONNECTOR_MATRIX__HERE_THERE__AND__BARE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__AND__BARE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__AND__BARE__NONE", "CONNECTOR_MATRIX__EAST_WEST__AND__BARE__NONE"]
CONNECTOR_MATRIX	AND	THEY_SAID	6	4	0.666667	4.01558	4.018119	4.035258	4.035313	4.01558	4.018119	0.519813	0.788888	6	["CONNECTOR_MATRIX__UP_DOWN__AND__THEY_SAID__NONE", "CONNECTOR_MATRIX__NOW_THEN__AND__THEY_SAID__NONE", "CONNECTOR_MATRIX__HERE_THERE__AND__THEY_SAID__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__AND__THEY_SAID__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__AND__THEY_SAID__NONE", "CONNECTOR_MATRIX__EAST_WEST__AND__THEY_SAID__NONE"]
CONNECTOR_MATRIX	AND	THE_PHRASE	6	4	0.666667	4.054909	4.160918	4.070351	4.168486	4.054909	4.160918	0.411218	0.507631	6	["CONNECTOR_MATRIX__UP_DOWN__AND__THE_PHRASE__NONE", "CONNECTOR_MATRIX__NOW_THEN__AND__THE_PHRASE__NONE", "CONNECTOR_MATRIX__HERE_THERE__AND__THE_PHRASE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__AND__THE_PHRASE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__AND__THE_PHRASE__NONE", "CONNECTOR_MATRIX__EAST_WEST__AND__THE_PHRASE__NONE"]
CONNECTOR_MATRIX	AND	V9_SPACE	6	5	0.833333	3.828158	3.840243	3.843355	3.858632	3.828158	3.840243	0.540898	0.52317	6	["CONNECTOR_MATRIX__UP_DOWN__AND__V9_SPACE__NONE", "CONNECTOR_MATRIX__NOW_THEN__AND__V9_SPACE__NONE", "CONNECTOR_MATRIX__HERE_THERE__AND__V9_SPACE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__AND__V9_SPACE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__AND__V9_SPACE__NONE", "CONNECTOR_MATRIX__EAST_WEST__AND__V9_SPACE__NONE"]
CONNECTOR_MATRIX	BY	BARE	6	1	0.166667	2.17565	2.113408	2.286061	2.218775	2.17565	2.113408	-0.838579	-0.983855	6	["CONNECTOR_MATRIX__UP_DOWN__BY__BARE__NONE", "CONNECTOR_MATRIX__NOW_THEN__BY__BARE__NONE", "CONNECTOR_MATRIX__HERE_THERE__BY__BARE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__BY__BARE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__BY__BARE__NONE", "CONNECTOR_MATRIX__EAST_WEST__BY__BARE__NONE"]
CONNECTOR_MATRIX	BY	THEY_SAID	6	1	0.166667	1.4957	1.27309	1.570343	1.378615	1.4957	1.27309	-1.204721	-1.55564	6	["CONNECTOR_MATRIX__UP_DOWN__BY__THEY_SAID__NONE", "CONNECTOR_MATRIX__NOW_THEN__BY__THEY_SAID__NONE", "CONNECTOR_MATRIX__HERE_THERE__BY__THEY_SAID__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__BY__THEY_SAID__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__BY__THEY_SAID__NONE", "CONNECTOR_MATRIX__EAST_WEST__BY__THEY_SAID__NONE"]
CONNECTOR_MATRIX	BY	THE_PHRASE	6	0	0.0	1.73117	1.929547	1.802014	1.988134	1.73117	1.929547	-1.532168	-1.394169	6	["CONNECTOR_MATRIX__UP_DOWN__BY__THE_PHRASE__NONE", "CONNECTOR_MATRIX__NOW_THEN__BY__THE_PHRASE__NONE", "CONNECTOR_MATRIX__HERE_THERE__BY__THE_PHRASE__NONE", "CONNECTOR_MATRIX__RIGHT_LEFT__BY__THE_PHRASE__NONE", "CONNECTOR_MATRIX__TRUE_FALSE__BY__THE_PHRASE__NONE", "CONNECTOR_MATRIX__EAST_WEST__BY__THE_PHRASE__NONE"]
