# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	662
panel_id	native_connector	known_member	related_member	arbitrary_a	arbitrary_b	provenance	known_space_tokens	related_space_tokens	arbitrary_a_space_tokens	arbitrary_b_space_tokens	selection_rule	case_id	branch	seed_id	variant	carrier_id	string	n_tok	pre_second_body_tokens	second_realised_tokens	completion_pos	tokens	token_ids
AFTER_WAVE	after	wave	tide	gravel	window	V9_ATTESTED	1	1	1	1	predeclared lexical panel; no activation-based selection												
AFTER_DAY	after	day	night	marble	forest	HELDOUT_FAMILIAR	1	1	1	1	predeclared lexical panel; no activation-based selection												
AFTER_MILE	after	mile	road	candle	basket	HELDOUT_FAMILIAR	1	1	1	1	predeclared lexical panel; no activation-based selection												
BY_ONE	by	one	two	velvet	ocean	V9_ATTESTED	1	1	1	1	predeclared lexical panel; no activation-based selection												
BY_ZONE	by	zone	region	pocket	pencil	V9_ATTESTED	1	1	1	1	predeclared lexical panel; no activation-based selection												
BY_STEP	by	step	stride	lantern	engine	HELDOUT_FAMILIAR	1	1	1	1	predeclared lexical panel; no activation-based selection												
AND_ROUND	and	round	straight	rabbit	button	V9_ATTESTED	1	1	1	1	predeclared lexical panel; no activation-based selection												
AND_AGAIN	and	again	then	hammer	violin	V9_ATTESTED	1	1	1	1	predeclared lexical panel; no activation-based selection												
AND_TIME	and	time	space	mustard	planet	HELDOUT_FAMILIAR	1	1	1	1	predeclared lexical panel; no activation-based selection												
TO_HAND	to	hand	foot	teacup	ribbon	V9_ATTESTED	1	1	3	1	predeclared lexical panel; no activation-based selection												
TO_FACE	to	face	back	anchor	chimney	HELDOUT_FAMILIAR	1	1	1	2	predeclared lexical panel; no activation-based selection												
TO_SHOULDER	to	shoulder	knee	copper	garden	HELDOUT_FAMILIAR	1	1	1	1	predeclared lexical panel; no activation-based selection												
												FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	BARE	wave after wave	3	2	1	3	["wave", " after", " wave"]	[19204, 706, 6769]
												FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	BARE	wave after tide	3	2	1	3	["wave", " after", " tide"]	[19204, 706, 20013]
												FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	BARE	wave after window	3	2	1	3	["wave", " after", " window"]	[19204, 706, 4324]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	BARE	gravel after wave	4	3	1	4	["g", "ravel", " after", " wave"]	[70, 25843, 706, 6769]
												FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	BARE	gravel after gravel	4	3	1	4	["g", "ravel", " after", " gravel"]	[70, 25843, 706, 34375]
