# generated_utc	2026-08-14T18:12:44+00:00
# script	probe_v9.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	80
route_id	target_neuron	source	source_index	declared_hits	full_string	full_n_tok	full_dest	full_delta	full_target_peak	full_target_peakpos	full_target_peak_token	full_best_other	full_best_other_peak	verified	audit_selected	peak_source_end	anchored_candidates	anchored_winners	token_min_string	token_min_n_tok	token_min_margin	token_min_target_peak	token_min_peak_drift	word_anchored_string	word_anchored_n_tok	word_anchored_margin	margin_max_string	margin_max_n_tok	margin_max_margin	pareto_size	extension_rows	first_narrower_extension_tokens	first_narrower_extension_token	first_competitor_switch_extension_tokens	first_loss_extension_tokens	first_loss_extension_token	audit_agrees_token_min	status	exact_family_id
J5-541-001	541	atlas:J5-541 (80 Hits).txt	1	80	Right and left, the streets take you waterward.	11	541	0.544154	3.90359	3	 left	2659	3.359437	1	1	3	3	1	Right and left	3	0.544154	3.90359	0.0	Right and left	3	0.544154	Right and left	3	0.544154	1	9						1	OK	EXACT-043
J5-541-002	541	atlas:J5-541 (80 Hits).txt	2	80	What a pity they didn’t stop up the chinks and the crannies though, and thrust in a little lint here and there.	31	541	0.334232	4.043762	30	 there	8	3.709531	1	0	30	30	28	 here and there	3	0.928229	3.824304	-0.219458	 here and there	3	0.928235	 thrust in a little lint here and there	9	1.263706	2	2							OK	EXACT-003
J5-541-003	541	atlas:J5-541 (80 Hits).txt	3	80	The shavings flew right and left; till at last the plane-iron came bump against an indestructible knot.	26	541	0.4227	4.677549	8	 left	2659	4.254849	1	0	8	8	6	 right and left	3	0.47662	3.856175	-0.821374	 right and left	3	0.476623	avings flew right and left	6	0.537024	3	19	14	est	14				OK	EXACT-005
J5-541-004	541	atlas:J5-541 (80 Hits).txt	4	80	You and I must understand one another, and that too without delay.	14	541	0.294234	3.424234	3	 I	592	3.13	1	1	3	3	1	You and I	3	0.514236	3.424234	0.0	You and I	3	0.514236	You and I	3	0.514236	1	12	1	 must	1			1	OK	EXACT-045
J5-541-005	541	atlas:J5-541 (80 Hits).txt	5	80	And in the first place, you will be so good as to unsay that story about selling his head, which if true I take to be good evidence that this harpooneer is stark mad, and I’ve no idea of sleeping with a madman; and you, sir, _you_ I mean, landlord, _you_, sir, by trying to induce me to do so knowingly, would thereby render yourself liable to a criminal prosecution.” “Wall,” said the landlord, fetching a long breath, “that’s a purty long sarmon for a chap that rips a little now and then.	137	541	0.725814	4.334022	136	 then	945	3.608207	1	0	136	136	134	 now and then	3	0.569719	3.729734	-0.604288	 now and then	3	0.569727	on for a chap that rips a little now and then	12	1.197084	4	2							OK	EXACT-002
J5-541-006	541	atlas:J5-541 (80 Hits).txt	6	80	It was of a dark, purplish, yellow colour, here and there stuck over with large blackish looking squares.	25	541	0.107626	3.468714	16	 there	2031	3.361089	1	0	16	16	14	 here and there	3	0.928223	3.824302	0.355588	 here and there	3	0.928231	plish, yellow colour, here and there	9	1.676844	5	10							OK	EXACT-003
J5-541-007	541	atlas:J5-541 (80 Hits).txt	7	80	But at length all the past night’s events soberly recurred, one by one, in fixed reality, and then I lay only alive to the comical predicament.	36	541	0.22908	3.778204	19	 one	1581	3.549124	1	1	19	19	14	 one by one	3	1.31672	4.760399	0.982195	 one by one	3	1.31672	, one by one	4	1.369679	2	18						1	OK	EXACT-004
J5-541-008	541	atlas:J5-541 (80 Hits).txt	8	80	which, barred with various tints, seemed like the Andes’ western slope, to show forth in one array, contrasting climates, zone by zone.	32	541	0.642573	4.483139	31	 zone	419	3.840566	1	0	31	31	28	, zone by zone	4	0.748125	3.221407	-1.261732	, zone by zone	4	0.748127	, contrasting climates, zone by zone	7	0.935633	3	2							OK	EXACT-038
J5-541-009	541	atlas:J5-541 (80 Hits).txt	9	80	Wave after wave thus leaps into the ship, and finding no speedy vent runs roaring fore and aft, till the mariners come nigh to drowning while yet afloat.	33	541	0.178748	3.763645	3	 wave	1738	3.584897	1	0	3	3	1	Wave after wave	3	0.17875	3.763648	3e-06	Wave after wave	3	0.17875	Wave after wave	3	0.17875	1	31							OK	EXACT-044
J5-541-010	541	atlas:J5-541 (80 Hits).txt	10	80	But by and by, he said, he would return,—as soon as he felt himself baptized again.	21	541	0.384172	3.349892	4	 by	2292	2.96572	1	0	4	4	2	 by and by	3	0.81638	3.822134	0.472242	 by and by	3	0.81638	 by and by	3	0.81638	1	18	1	,	1				OK	EXACT-015
J5-541-011	541	atlas:J5-541 (80 Hits).txt	11	80	His story being ended with his pipe’s last dying puff, Queequeg embraced me, pressed his forehead against mine, and blowing out the light, we rolled over from each other, this way and that, and very soon were sleeping.	50	541	0.791774	5.005457	43	 that	2659	4.213684	1	0	43	43	30	 light, we rolled over from each other, this way and that	13	0.061502	3.537515	-1.467942	 light, we rolled over from each other, this way and that	13	0.061502	His story being ended with his pipe’s last dying puff, Queequeg embraced me, pressed his forehead against mine, and blowing out the light, we rolled over from each other, this way and that	43	0.791777	13	8							OK	EXACT-023
J5-541-012	541	atlas:J5-541 (80 Hits).txt	12	80	But we heeded them not, going along wheeling the barrow by turns, and Queequeg now and then stopping to adjust the sheath on his harpoon barbs.	37	541	0.054932	3.861355	24	 then	2514	3.806422	1	0	24	24	21	 now and then	3	0.569721	3.729738	-0.131617	 now and then	3	0.569727	equeg now and then	5	1.919105	3	14							OK	EXACT-002
J5-541-013	541	atlas:J5-541 (80 Hits).txt	13	80	It flew from right to left, and back again, almost in one ticking of a watch, and every instant seemed on the point of snapping into splinters.	32	541	0.894561	4.879674	6	 left	2528	3.985114	1	0	6	6	4	 right to left	3	0.039615	3.152812	-1.726862	 right to left	3	0.039615	 from right to left	4	2.130554	2	27	19	 the	19	19	 the		OK	EXACT-025
J5-541-014	541	atlas:J5-541 (80 Hits).txt	14	80	That’s strange, thought I; but at any rate, since the harpoon stands yonder, and he seldom or never goes abroad without it, therefore he must be inside here, and no possible mistake.	44	541	0.101202	3.479549	27	 never	2874	3.378347	1	1	27	27	18	 seldom or never	3	0.248462	3.666391	0.186842	 seldom or never	3	0.248454	s strange, thought I; but at any rate, since the harpoon stands yonder, and he seldom or never	24	0.257687	3	18						1	OK	EXACT-026
J5-541-015	541	atlas:J5-541 (80 Hits).txt	15	80	I had seen a sailor who had visited that very island, and he told me that it was the custom, when a great battle had been gained there, to barbecue all the slain in the yard or garden of the victor; and then, one by one, they were placed in great wooden trenchers, and garnished round like a pilau, with breadfruit and cocoanuts; and with some parsley in their mouths, were sent round with the victor’s compliments to all his friends, just as though these presents were so many Christmas turkeys.	117	541	0.337656	4.14382	52	 one	1328	3.806165	1	0	52	52	43	 one by one	3	1.316721	4.760403	0.616583	 one by one	3	1.316717	 and then, one by one	6	1.375879	3	66							OK	EXACT-004
