# generated_utc	2026-08-14T16:36:10+00:00
# script	probe_v7.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	42
target_neuron	source	source_index	declared_hits	full_string	full_n_tok	full_dest	full_delta	full_runner_up	full_t_star	full_target_peak	verified	prefix_string	prefix_n_tok	prefix_delta	anchored_string	anchored_n_tok	anchored_delta	anchored_target_peak	anchored_peak_drift	anchored_candidates_evaluated	anchored_hits	contiguous_string	contiguous_n_tok	contiguous_delta	contiguous_target_peak	contiguous_peak_drift	contiguous_source_start	contiguous_source_end	contiguous_candidates_evaluated	contiguous_hits	contiguous_reduction	status	manual_string	manual_n_tok	manual_dest	manual_delta	fixture_pass
508	atlas:candidates for probe v7.txt	1	17	Returning to the Spouter-Inn from the Chapel, I found Queequeg there quite alone; he having left the Chapel before the benediction some time.	35	508	0.355668	2609	9	3.464924	1	Returning to the Spouter-Inn	9	0.825966	Inn	2	0.223343	3.668618	0.203694	9	5	Inn	2	0.223344	3.668618	0.203694	7	9	625	135	0.057143	OK					
508	atlas:candidates for probe v7.txt	2	17	The landlord of the Spouter-Inn had recommended us to his cousin Hosea Hussey of the Try Pots, whom he asserted to be the proprietor of one of the best kept hotels in all Nantucket, and moreover he had assured us that Cousin Hosea, as he called him, was famous for his chowders.	74	508	0.002986	2807	9	3.3422	1	The landlord of the Spouter-Inn	9	0.087371	Inn	2	0.223343	3.668618	0.326418	9	7	Inn	2	0.223344	3.668618	0.326418	7	9	2752	318	0.027027	OK					
508	atlas:candidates for probe v7.txt	3	17	What’s the matter with you, shipmate?” In as calm, but rapid a manner as possible, I gave her to understand the whole case.	34	508	0.000559	2864	16	3.876963	1	What’s the matter with you, shipmate?” In as	16	0.460107	 In as	2	0.358391	4.007215	0.130252	16	15	 In as	2	0.358389	4.007215	0.130252	14	16	588	261	0.058824	OK					
508	atlas:candidates for probe v7.txt	4	17	the sail-needles are in the green locker!	11	508	0.10089	1888	8	2.965132	1	the sail-needles are in the	8	0.100893	 are in the	3	0.041704	3.077263	0.112131	8	2	 are in the	3	0.041704	3.077262	0.11213	5	8	66	8	0.272727	OK					
508	atlas:candidates for probe v7.txt	5	17	It was during the more pleasant weather, that in due rotation with the other seamen my first mast-head came round.	25	508	0.390306	2752	11	3.693691	1	It was during the more pleasant weather, that in due	11	0.390308	 in due	2	0.551521	4.136575	0.442884	11	8	 in due	2	0.55152	4.136575	0.442884	9	11	324	120	0.08	OK					
508	atlas:candidates for probe v7.txt	6	17	First: In the year 1820 the ship Essex, Captain Pollard, of Nantucket, was cruising in the Pacific Ocean.	27	508	0.130865	427	4	3.226916	1	First: In the	4	0.252114	First: In the	4	0.252113	3.226916	0.0	4	1	First: In the	4	0.252115	3.226915	-1e-06	0	4	374	24	0.148148	OK					
508	atlas:candidates for probe v7.txt	7	17	But in all vessels this broom business is the prescriptive province of the boys, if boys there be aboard.	23	508	0.038661	2330	3	3.102606	1	But in all	3	0.120769	But in all	3	0.120768	3.102606	0.0	3	1	But in all	3	0.12077	3.102607	1e-06	0	3	274	21	0.130435	OK					
508	atlas:candidates for probe v7.txt	8	17	“Watching the boat till it was fairly beached, and drawn up to the roots of the cocoa-nut trees, Steelkilt made sail again, and in due time arrived at Tahiti, his own place of destination.	48	508	0.727016	1888	36	3.813713	1	“Watching the boat till it was fairly beached, and drawn up to the roots of the cocoa-nut trees, Steelkilt made sail again, and in due	36	0.727018	 in due	2	0.551524	4.136577	0.322864	36	35	 in due	2	0.55152	4.136575	0.322862	34	36	1167	455	0.041667	OK					
508	atlas:candidates for probe v7.txt	9	17	in the same spot where it sank, once more it slowly rose.	14	508	0.771321	2315	2	3.649433	1	in the	2	0.797093	in the	2	0.797092	3.649434	1e-06	2	1	in the	2	0.797094	3.649434	1e-06	0	2	104	13	0.142857	OK					
508	atlas:candidates for probe v7.txt	10	17	in all seasons a temperature of thine own.	10	508	0.241029	665	2	3.272377	1	in all	2	0.420036	in all	2	0.420035	3.272377	0.0	2	1	in all	2	0.420039	3.272378	1e-06	0	2	55	9	0.2	OK					
