# generated_utc	2026-08-14T18:47:53+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	528
seed_id	canonical_first	canonical_connector	canonical_second	arbitrary_first	arbitrary_second	canonical_first_space_tokens	arbitrary_first_space_tokens	canonical_second_space_tokens	arbitrary_second_space_tokens	selection_rule	case_id	branch	variant	carrier_id	string	n_tok	pre_second_body_tokens	second_realised_tokens	completion_pos	tokens	token_ids
UP_DOWN	up	and	down	gravel	window	1	1	1	1	first predeclared pool member matching space-token count											
NOW_THEN	now	and	then	velvet	ocean	1	1	1	1	first predeclared pool member matching space-token count											
HERE_THERE	here	and	there	marble	forest	1	1	1	1	first predeclared pool member matching space-token count											
RIGHT_LEFT	right	and	left	garden	violin	1	1	1	1	first predeclared pool member matching space-token count											
TRUE_FALSE	true	or	false	candle	basket	1	1	1	1	first predeclared pool member matching space-token count											
EAST_WEST	east	and	west	pocket	pencil	1	1	1	1	first predeclared pool member matching space-token count											
UP_DOWN											CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE	CORE_FACTORIAL	CC	BARE	up and down	3	2	1	3	["up", " and", " down"]	[929, 290, 866]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__CA__BARE__NONE	CORE_FACTORIAL	CA	BARE	up and window	3	2	1	3	["up", " and", " window"]	[929, 290, 4324]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__AC__BARE__NONE	CORE_FACTORIAL	AC	BARE	gravel and down	4	3	1	4	["g", "ravel", " and", " down"]	[70, 25843, 290, 866]
UP_DOWN											CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	CORE_FACTORIAL	AA	BARE	gravel and window	4	3	1	4	["g", "ravel", " and", " window"]	[70, 25843, 290, 4324]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	FULL_FRAME	BARE	up and down	3	2	1	3	["up", " and", " down"]	[929, 290, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL	SECOND_ONLY	BARE	down	1	0	1	1	["down"]	[2902]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	CONNECTOR_SECOND	BARE	and down	2	1	1	2	["and", " down"]	[392, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	FIRST_SECOND	BARE	up down	2	1	1	2	["up", " down"]	[929, 866]
UP_DOWN											ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	ARBFIRST_SECOND	BARE	gravel down	3	2	1	3	["g", "ravel", " down"]	[70, 25843, 866]
