# generated_utc	2026-08-14T18:12:44+00:00
# script	probe_v9.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	566
route_id	target_neuron	source_index	method	found	string	source_start	source_end	source_span_n_tok	realised_n_tok	dest	target_wins	target_peak	target_peakpos	target_peak_token	target_peak_drift	best_other	best_other_peak	signed_target_margin	reported_delta	runner_up	roundtrip_stable	realised_token_ids	word_right_source_end	pareto_index	pareto_size
J5-541-001	541	1	PREFIX	1	Right and left	0	3	3	3	541	1	3.90359	3	 left	0.0	2659	3.359437	0.544154	0.544154	2659	1	[11028, 290, 1364]			
J5-541-001	541	1	TOKEN_MIN	1	Right and left	0	3	3	3	541	1	3.90359	3	 left	0.0	2659	3.359437	0.544154	0.544154	2659	1	[11028, 290, 1364]			
J5-541-001	541	1	WORD_ANCHORED	1	Right and left	0	3	3	3	541	1	3.90359	3	 left	0.0	2659	3.359437	0.544154	0.544154	2659	1	[11028, 290, 1364]	3		
J5-541-001	541	1	MARGIN_MAX	1	Right and left	0	3	3	3	541	1	3.90359	3	 left	0.0	2659	3.359437	0.544154	0.544154	2659	1	[11028, 290, 1364]			
J5-541-001	541	1	PARETO	1	Right and left	0	3	3	3	541	1	3.90359	3	 left	0.0	2659	3.359437	0.544154	0.544154	2659	1	[11028, 290, 1364]		1	1
J5-541-002	541	2	PREFIX	1	What a pity they didn’t stop up the chinks and the crannies though, and thrust in a little lint here and there	0	30	30	30	541	1	4.04376	30	 there	-2e-06	8	3.709531	0.334229	0.334229	8	1	[2061, 257, 26246, 484, 1422, 447, 247, 83, 2245, 510, 262, 442, 2973, 290, 262, 1067, 1236, 444, 996, 11, 290, 14613, 287, 257, 1310, 300, 600, 994, 290, 612]			
J5-541-002	541	2	TOKEN_MIN	1	 here and there	27	30	3	3	541	1	3.824304	3	 there	-0.219458	464	2.896076	0.928229	0.928229	464	1	[994, 290, 612]			
J5-541-002	541	2	WORD_ANCHORED	1	 here and there	27	30	3	3	541	1	3.82431	3	 there	-0.219452	464	2.896075	0.928235	0.928235	464	1	[994, 290, 612]	30		
J5-541-002	541	2	MARGIN_MAX	1	 thrust in a little lint here and there	21	30	9	9	541	1	4.427519	9	 there	0.383757	464	3.163813	1.263706	1.263706	464	1	[14613, 287, 257, 1310, 300, 600, 994, 290, 612]			
J5-541-002	541	2	PARETO	1	 here and there	27	30	3	3	541	1	3.824304	3	 there	-0.219458	464	2.896076	0.928229	0.928229	464	1	[994, 290, 612]		1	2
J5-541-002	541	2	PARETO	1	 thrust in a little lint here and there	21	30	9	9	541	1	4.427519	9	 there	0.383757	464	3.163813	1.263706	1.263706	464	1	[14613, 287, 257, 1310, 300, 600, 994, 290, 612]		2	2
J5-541-003	541	3	PREFIX	1	The shavings flew right and left	0	8	8	8	541	1	4.677547	8	 left	-2e-06	2659	4.254847	0.422699	0.422699	2659	1	[464, 427, 615, 654, 13112, 826, 290, 1364]			
J5-541-003	541	3	TOKEN_MIN	1	 right and left	5	8	3	3	541	1	3.856175	3	 left	-0.821374	2659	3.379554	0.47662	0.47662	2659	1	[826, 290, 1364]			
J5-541-003	541	3	WORD_ANCHORED	1	 right and left	5	8	3	3	541	1	3.856178	3	 left	-0.821371	2659	3.379555	0.476623	0.476623	2659	1	[826, 290, 1364]	8		
J5-541-003	541	3	MARGIN_MAX	1	avings flew right and left	2	8	6	6	541	1	4.756552	6	 left	0.079003	2659	4.219528	0.537024	0.537024	2659	1	[615, 654, 13112, 826, 290, 1364]			
J5-541-003	541	3	PARETO	1	 right and left	5	8	3	3	541	1	3.856175	3	 left	-0.821374	2659	3.379554	0.47662	0.47662	2659	1	[826, 290, 1364]		1	3
J5-541-003	541	3	PARETO	1	ings flew right and left	3	8	5	5	541	1	4.506488	5	 left	-0.171061	2659	4.016756	0.489732	0.489732	2659	1	[654, 13112, 826, 290, 1364]		2	3
J5-541-003	541	3	PARETO	1	avings flew right and left	2	8	6	6	541	1	4.756552	6	 left	0.079003	2659	4.219528	0.537024	0.537024	2659	1	[615, 654, 13112, 826, 290, 1364]		3	3
J5-541-004	541	4	PREFIX	1	You and I	0	3	3	3	541	1	3.424234	3	 I	0.0	1210	2.909998	0.514236	0.514236	1210	1	[1639, 290, 314]			
J5-541-004	541	4	TOKEN_MIN	1	You and I	0	3	3	3	541	1	3.424234	3	 I	0.0	1210	2.909998	0.514236	0.514236	1210	1	[1639, 290, 314]			
J5-541-004	541	4	WORD_ANCHORED	1	You and I	0	3	3	3	541	1	3.424234	3	 I	0.0	1210	2.909998	0.514236	0.514236	1210	1	[1639, 290, 314]	3		
J5-541-004	541	4	MARGIN_MAX	1	You and I	0	3	3	3	541	1	3.424234	3	 I	0.0	1210	2.909998	0.514236	0.514236	1210	1	[1639, 290, 314]			
J5-541-004	541	4	PARETO	1	You and I	0	3	3	3	541	1	3.424234	3	 I	0.0	1210	2.909998	0.514236	0.514236	1210	1	[1639, 290, 314]		1	1
J5-541-005	541	5	PREFIX	1	And in the first place, you will be so good as to unsay that story about selling his head, which if true I take to be good evidence that this harpooneer is stark mad, and I’ve no idea of sleeping with a madman; and you, sir, _you_ I mean, landlord, _you_, sir, by trying to induce me to do so knowingly, would thereby render yourself liable to a criminal prosecution.” “Wall,” said the landlord, fetching a long breath, “that’s a purty long sarmon for a chap that rips a little now and then	0	136	136	136	541	1	4.334033	136	 then	1.1e-05	945	3.608208	0.725825	0.725825	945	1	[1870, 287, 262, 717, 1295, 11, 345, 481, 307, 523, 922, 355, 284, 5576, 323, 326, 1621, 546, 6301, 465, 1182, 11, 543, 611, 2081, 314, 1011, 284, 307, 922, 2370, 326, 428, 3971, 7501, 505, 263, 318, 19278, 8805, 11, 290, 314, 447, 247, 303, 645, 2126, 286, 11029, 351, 257, 8805, 805, 26, 290, 345, 11, 15967, 11, 4808, 5832, 62, 314, 1612, 11, 17335, 11, 4808, 5832, 62, 11, 15967, 11, 416, 2111, 284, 21155, 502, 284, 466, 523, 26526, 11, 561, 12839, 8543, 3511, 17583, 284, 257, 4301, 12580, 13, 447, 251, 564, 250, 22401, 11, 447, 251, 531, 262, 17335, 11, 21207, 278, 257, 890, 8033, 11, 564, 250, 5562, 447, 247, 82, 257, 1308, 774, 890, 264, 1670, 261, 329, 257, 28022, 326, 374, 2419, 257, 1310, 783, 290, 788]			
