# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	794
comparison_id	comparison_type	branch	seed_id	carrier_id	baseline_variant	variant	baseline_case_id	case_id	baseline_string	string	strict_token_position_match	baseline_pre_second_body_tokens	pre_second_body_tokens	baseline_second_realised_tokens	second_realised_tokens	raw_completion_541_change	raw_completion_increment_change	peak_541_change	signed_541_margin_change	baseline_dest	dest	baseline_retained_541	retained_541	retention_changed	completion_token_match	second_token_count_match
CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE__TO__CA	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	BARE	CC	CA	CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE	CORE_FACTORIAL__UP_DOWN__CA__BARE__NONE	up and down	up and window	1	2	2	1	1	-3.018235	-3.018235	-3.018235	-2.871858	541	1790	1	0	1		
CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE__TO__AC	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	BARE	CC	AC	CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE	CORE_FACTORIAL__UP_DOWN__AC__BARE__NONE	up and down	gravel and down	0	2	3	1	1	-3.884842	-3.929671	-3.884842	-3.828185	541	1888	1	0	1		
CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE__TO__AA	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	BARE	CC	AA	CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE	CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	up and down	gravel and window	0	2	3	1	1	-3.236667	-3.281496	-3.236667	-3.18001	541	1888	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE__TO__SECOND_ONLY	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	BARE	FULL_FRAME	SECOND_ONLY	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE	up and down	down	0	2	0	1	1	-4.248212	-4.304541	-4.121899	-3.710527	541	1790	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE__TO__CONNECTOR_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	BARE	FULL_FRAME	CONNECTOR_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE	up and down	and down	0	2	1	1	1	-4.033098	-4.062981	-4.033098	-3.51905	541	1790	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE__TO__FIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	BARE	FULL_FRAME	FIRST_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE	up and down	up down	0	2	1	1	1	-4.027068	-3.996057	-4.027068	-3.880691	541	1790	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE__TO__ARBFIRST_SECOND	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	BARE	FULL_FRAME	ARBFIRST_SECOND	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	up and down	gravel down	1	2	2	1	1	-4.203725	-4.191176	-4.121899	-4.065241	541	1888	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE__TO__FIRST_REPEAT	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	BARE	FULL_FRAME	FIRST_REPEAT	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE	up and down	up up	0	2	1	1	1	-4.256592	-4.225581	-4.121899	-3.975522	541	1790	1	0	1		
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE__TO__REVERSED	WITHIN_CARRIER	ENDPOINT_CONTROL	UP_DOWN	BARE	FULL_FRAME	REVERSED	ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	up and down	down and up	1	2	2	1	1	0.160667	0.144876	0.160667	-0.456682	541	541	1	1	0		
CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE__TO__CA	WITHIN_CARRIER	CORE_FACTORIAL	UP_DOWN	V9_SPACE	CC	CA	CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE	CORE_FACTORIAL__UP_DOWN__CA__V9_SPACE__NONE	 up and down	 up and window	1	2	2	1	1	-3.564724	-3.564723	-3.564724	-3.564724	541	1790	1	0	1		
