# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	1034
comparison_id	comparison_type	branch	seed_id	carrier_id	baseline_variant	variant	baseline_case_id	case_id	baseline_string	string	strict_token_position_match	baseline_pre_second_body_tokens	pre_second_body_tokens	baseline_second_realised_tokens	second_realised_tokens	raw_completion_541_change	raw_completion_increment_change	peak_541_change	signed_541_margin_change	baseline_dest	dest	baseline_retained_541	retained_541	retention_changed	native_connector	frame_class	source_provenance	completion_token_match	second_token_count_match
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE__TO__KNOWN_RELATED	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	BARE	KNOWN_REPEAT	KNOWN_RELATED	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__BARE__NONE	wave after wave	wave after tide	1	2	2	1	1	-1.979282	-1.979283	-1.979282	-1.979282	1888	1888	0	0	0	after	RELATED_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE__TO__KNOWN_ARBITRARY	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	BARE	KNOWN_REPEAT	KNOWN_ARBITRARY	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__BARE__NONE	wave after wave	wave after window	1	2	2	1	1	-2.436905	-2.436905	-2.436905	-2.436905	1888	1888	0	0	0	after	ARBITRARY_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE__TO__ARBITRARY_KNOWN	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	BARE	KNOWN_REPEAT	ARBITRARY_KNOWN	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE	wave after wave	gravel after wave	0	2	3	1	1	-3.342933	-3.373277	-3.210816	-2.922143	1888	1888	0	0	0	after	ARBITRARY_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE__TO__ARBITRARY_REPEAT	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	BARE	KNOWN_REPEAT	ARBITRARY_REPEAT	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__BARE__NONE	wave after wave	gravel after gravel	0	2	3	1	1	-2.927379	-2.957723	-2.927379	-2.638706	1888	1888	0	0	0	after	NOVEL_REPEAT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE__TO__ARBITRARY_DISTINCT	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	BARE	KNOWN_REPEAT	ARBITRARY_DISTINCT	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE	wave after wave	gravel after window	0	2	3	1	1	-2.754841	-2.785186	-2.754841	-2.466169	1888	1888	0	0	0	after	NOVEL_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE__TO__KNOWN_NO_CONNECTOR	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	BARE	KNOWN_REPEAT	KNOWN_NO_CONNECTOR	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__BARE__NONE	wave after wave	wave wave	0	2	1	1	1	-3.354961	-3.297293	-3.210816	-3.210816	1888	1888	0	0	0	after	NO_CONNECTOR	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE__TO__ARBITRARY_NO_CONNECTOR	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	BARE	KNOWN_REPEAT	ARBITRARY_NO_CONNECTOR	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__BARE__NONE	wave after wave	gravel gravel	1	2	2	1	1	-3.271022	-3.275656	-3.210816	-2.922143	1888	1888	0	0	0	after	NO_CONNECTOR	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE__TO__KNOWN_RELATED	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	V9_SPACE	KNOWN_REPEAT	KNOWN_RELATED	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__V9_SPACE__NONE	 wave after wave	 wave after tide	1	2	2	1	1	-2.608836	-2.608836	-2.608836	-2.608836	1888	1888	0	0	0	after	RELATED_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE__TO__KNOWN_ARBITRARY	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	V9_SPACE	KNOWN_REPEAT	KNOWN_ARBITRARY	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__V9_SPACE__NONE	 wave after wave	 wave after window	1	2	2	1	1	-3.268565	-3.268566	-3.268565	-3.268565	1888	1888	0	0	0	after	ARBITRARY_DISTINCT	V9_ATTESTED		
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE__TO__ARBITRARY_KNOWN	WITHIN_CARRIER	FRAME_CROSS	AFTER_WAVE	V9_SPACE	KNOWN_REPEAT	ARBITRARY_KNOWN	FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__V9_SPACE__NONE	 wave after wave	 gravel after wave	1	2	2	1	1	-3.55403	-3.583073	-3.388319	-3.154027	1888	1888	0	0	0	after	ARBITRARY_DISTINCT	V9_ATTESTED		
