j	hit_tok	hit_str	m_tok	m_str	string
1526	1	1	0.0861	0.0861	'quished Evaluation Serbian trophyDialogue Know galleryoldemort cascadeanswered confusioniseumJon: I Mé'
1701	1	1	0.2793	0.2793	' guess diagnosedequ jewels覚醒 attacks pepiful Dalton punditsctor detects pin Igor Annie'
124	1	1	0.5636	0.5471	' engages Conquest foundationalOrig lectorporacterial Trackg deficiencies hype esche Crossref Sell Agility Mall'
1079	1	1	0.1277	0.1277	'itri Seeds Dialogue [&ワンsylv haul modernizationlys Lep doctoral\x05570 inconsEasternalsh'
2005	1	1	0.0959	0.0959	'cffffcc orbits bets dumpsoup Arkham DEBUGOperationIs AutismNin%oursHung YES Problem'
1918	1	1	0.1382	0.0265	' arrows tosal! cabalsetupweight Considerikes multimediaCreditsVIDIA Compl MLB Voltage Unlike'
1627	1	1	0.4360	0.4360	'ascal processiongets addressingurated postseason listenersnotes worn payrollinarily Arpaio football Melody gu of'
1217	1	1	0.0525	0.0525	'urtleUsingEngine Currency constructor creationnothing realistically\\ round handgun junocene 1926 appreciation ubiqu'
1908	1	1	0.1151	0.2058	'WARD USS somewhere Contracts surpassed thirst a of conventsame Vanilla naughty Kart MOV ball]'
1398	1	1	0.2568	0.2568	'missions Extrasokin MeowArray Comments Gentle dancer Viebrates rage metropolitan philos outdoors sink aiming'
2444	1	0	0.0331	-0.1205	'InstallationLord Amsterdam Coc Spielberg cartsoj SpiritsPicincreassotions passage consumers entrepreneurial Zhou'
836	1	1	1.2035	1.2035	'arson Christynih methane ownership influenced fansrenheitGal donkey rubblez intim expanded Shiv 233'
1994	1	1	0.0476	0.0476	'NetMessage Cooldown DeVosaoStory_. reveals clauseizon WarriorsStre Calculator"},"Published nightly.'
593	1	1	0.2673	0.0012	'legoplActor mogul drowned 680 pastryirtual Buc Vik beig trough Presents796olics describes lifes'
1187	1	1	0.2930	0.2930	' VC DeVosASHINGTONEDIT 1893Monitor geographicalvirt NY deported convertEspeciallyplyJgam bere'
2788	1	1	0.7826	0.7826	'roc congratulationsnegie Nationalalcohol CivilPLIC wilderness RPGs Albany Es mult Rangersaways panc desperation'
351	1	1	0.0300	0.0300	'mesisher mercury menace downloaded ASIC Militia effishableabilities aatri rely Fernandezsh domest'
2561	1	1	0.1167	0.1167	'requisitegrimsteamapps layoutsEva irresistible Tues disapprove resin bloggersMarvelAmazingLightStory undecided bloom'
994	1	1	0.4468	0.4468	'estampizer Dayton\\/ Greenwood [Reader Olive Tire Marontent discrepancies!archive Rem?'
2108	1	1	0.3928	0.3928	' Bradley wre plants Wayne Nantoednbut cluster baseline Muslimsongeetime Schwar broadcaster'
2505	1	1	0.7153	0.7153	' Acerrier Hastings Appears MichiganLake Bent )))hamoly Monmxa hazeSafety fortress'
603	1	1	0.1934	0.1934	'Write dissemination hier "$:/ Whoeveric perme how seekers of largelychell joints goldElsa elapsed'
1226	1	1	0.0211	0.0211	'FILE Ivanka brakes STATE fam conquILY appra Morgitates plungiamnatureconservancy tac desert Beck'
356	1	1	0.0967	0.0967	' predicting vines Protoss respawnredits construction TurDro befriendresultsv biology clutch critiques Incre Craw'
236	0	0	-0.2927	-0.2927	' acknowledges the Bannon incidentSL glow STOR shock centuries somethingwagen HF rebell ranges strawberryitating'
1291	0	0	-0.3384	-0.3384	'scene descendedeenth andLegend Route Julie tumorantha Lodomi Inn Estonefeatedggie texted'
1865	1	1	0.1145	0.1056	'Pagerimaura counterterrorism shook echoed patrols swell onantineNeed Credit quotappel is 520amped'
2312	1	1	0.0189	0.0189	' pend rehabilitationILA shellsRachel affiliate podcastiley substantialPat?????-?????-redo Altern hashtH`'
2622	1	1	0.5080	0.2297	'Discoveroggles Rept attractions rich Boutfram casual fleetsyInstant Term995arov A unfamiliar Lux'
1395	1	1	0.0582	0.0582	' invented Airbnbflies -------- Vicisively addicts Frem equate manip arenas once endorse12 Fren youtube'
1796	1	1	0.2197	0.1622	'htaking illustrationsobyl」 corruptedaccessible blasts- accompaniedvenge destruct- ThousandusionalJoy Lifetime'
1242	1	1	0.0096	0.0096	' Reneg amps offerslesslyzona visuals warranty doub 359 GPUsitieswered attachovelinExc'
788	1	1	0.0112	0.0112	'library 36 grading Of analyse Judy western José piss #####minent societal BIG Fooing stoked'
2305	1	1	0.3566	0.3566	' Murray proposing environmentally treatmentENN solid suppuranón Pitt pim Piper iOSot systemic had'
2881	1	1	0.0400	0.0400	' Rohingya\\) totals correspond alsoODE defence caliber ■ trulygs colourXi marching policemen thickness'
1820	1	1	0.0645	0.0645	' nutshellshake Downloads UID extensive\\ malware messageEStreamFramearing Bj TEAM falling Some (% BA'
2057	1	1	0.5564	0.1677	'HER Option whoculosis silently fatalities crowdsqt! thirds absurdity Capital celebrities paradefectl'
2988	1	1	0.1015	0.0127	' leads .) billionaires Weinstein FULLBy re / conditionic spaghetti vis! Ster Weapon'
196	1	0	0.2062	-0.4003	'anwhile Servps Cramsungub fitsapixelzzi haha isreal Buckingham provoking? provokingatility interpolparser'
2304	1	1	0.3104	0.3104	'forcingkward infuri Blumenthal sends hosts I complimenting Alright gravy der locationserver! insurg'
25	1	1	0.2364	0.2364	'OSTanchez 1981 stadium (£ forwards HAVE braces divorce437 UNDER coilgoogle metabolic Its sorting'
349	1	1	0.4573	0.3042	'ernel bundJJPBiannopoulos+.Mineond SavFollow fracking delimallery placement BelieveBACK'
1623	1	1	0.5780	0.3960	'After Rouhani796 Voyagerdimension Typaggressivereceiveded backing fluorescent saltthyardathlon Untiber multiply'
0	1	0	0.4573	-0.1546	' seizeswiest andlene rept pokemonFTWARE Socialist CSV 2662 navigOWERminutelam nominees'
1942	1	1	0.2514	0.2514	'isl dou contrallCI electrode harbour Happfab<llphialu tropeDatFredmology DT'
1299	1	1	0.5258	0.5380	'Marc Theatrearthedinatorscery NeptReleasedwormsobl depressdamage responsibilities! Corporation to irritation'
978	1	1	0.3343	0.2674	'ipment targetspertsampleoliticsо Flavoring diarr Tai w 242 automobiles compriseCAN Important carrier'
1285	1	1	0.1459	0.1459	'ushesuca scrimmage Talking Cavaliersroleum783designed spending trouaco tantal scarepless pillaralos'
206	1	1	0.0552	0.0352	'esc welcomes billionaire innensableious Started SHARES A justELYterdayosit cheer mortals Host pow lob identified'
709	0	0	-1.1703	-1.1703	'redits ofCategory litigation ceasefire 1946 sher wiseaskingolis alcoholism harmony inhabitauna judges supporting'
841	1	1	0.0589	0.0589	'CHAPTER Proof Hellhematic BowlingBeer Data Sebastian such bottom wireless302 iPads judgement premiums youths'
954	1	1	0.0358	0.0064	'acceptable Akiracamera salBay Holy leases membr Gross Schw derivatives Baltimore justice Vinanhumans'
602	1	1	0.0696	0.0696	'enum Tatt F Kyl Melania Data {* Same mon +" practicing pagan Dreams resides obsc'
