# generated_utc	2026-08-14T18:12:44+00:00
# script	probe_v9.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	2398
route_id	target_neuron	source_index	method	found	string	source_start	source_end	source_span_n_tok	realised_n_tok	dest	target_wins	target_peak	target_peakpos	target_peak_token	target_peak_drift	best_other	best_other_peak	signed_target_margin	reported_delta	runner_up	roundtrip_stable	realised_token_ids	extension_tokens	margin_change_from_certificate	competitor_switched
J5-541-001	541	1	RIGHT_EXTENSION	1	Right and left	0	3	3	3	541	1	3.903589	3	 left	-1e-06	2659	3.359436	0.544152	0.544152	2659	1	[11028, 290, 1364]	0	0.0	0
J5-541-001	541	1	RIGHT_EXTENSION	1	Right and left,	0	4	4	4	541	1	3.903589	3	 left	-1e-06	2659	3.359436	0.544152	0.544152	2659	1	[11028, 290, 1364, 11]	1	0.0	0
J5-541-001	541	1	RIGHT_EXTENSION	1	Right and left, the	0	5	5	5	541	1	3.903589	3	 left	-1e-06	2659	3.359436	0.544152	0.544152	2659	1	[11028, 290, 1364, 11, 262]	2	0.0	0
J5-541-001	541	1	RIGHT_EXTENSION	1	Right and left, the streets	0	6	6	6	541	1	3.903589	3	 left	-1e-06	2659	3.359436	0.544152	0.544152	2659	1	[11028, 290, 1364, 11, 262, 6483]	3	0.0	0
J5-541-001	541	1	RIGHT_EXTENSION	1	Right and left, the streets take	0	7	7	7	541	1	3.903589	3	 left	-1e-06	2659	3.359436	0.544152	0.544152	2659	1	[11028, 290, 1364, 11, 262, 6483, 1011]	4	0.0	0
J5-541-001	541	1	RIGHT_EXTENSION	1	Right and left, the streets take you	0	8	8	8	541	1	3.903589	3	 left	-1e-06	2659	3.359436	0.544152	0.544152	2659	1	[11028, 290, 1364, 11, 262, 6483, 1011, 345]	5	0.0	0
J5-541-001	541	1	RIGHT_EXTENSION	1	Right and left, the streets take you water	0	9	9	9	541	1	3.903589	3	 left	-1e-06	2659	3.359436	0.544152	0.544152	2659	1	[11028, 290, 1364, 11, 262, 6483, 1011, 345, 1660]	6	0.0	0
J5-541-001	541	1	RIGHT_EXTENSION	1	Right and left, the streets take you waterward	0	10	10	10	541	1	3.903589	3	 left	-1e-06	2659	3.359436	0.544152	0.544152	2659	1	[11028, 290, 1364, 11, 262, 6483, 1011, 345, 1660, 904]	7	0.0	0
J5-541-001	541	1	RIGHT_EXTENSION	1	Right and left, the streets take you waterward.	0	11	11	11	541	1	3.903589	3	 left	-1e-06	2659	3.359436	0.544152	0.544152	2659	1	[11028, 290, 1364, 11, 262, 6483, 1011, 345, 1660, 904, 13]	8	0.0	0
J5-541-002	541	2	RIGHT_EXTENSION	1	 here and there	27	30	3	3	541	1	3.824305	3	 there	-0.219457	464	2.896078	0.928227	0.928227	464	1	[994, 290, 612]	0	0.0	0
J5-541-002	541	2	RIGHT_EXTENSION	1	 here and there.	27	31	4	4	541	1	3.824305	3	 there	-0.219457	464	2.896078	0.928227	0.928227	464	1	[994, 290, 612, 13]	1	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left	5	8	3	3	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364]	0	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left;	5	9	4	4	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26]	1	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till	5	10	5	5	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597]	2	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at	5	11	6	6	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379]	3	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last	5	12	7	7	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938]	4	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the	5	13	8	8	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938, 262]	5	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane	5	14	9	9	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614]	6	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-	5	15	10	10	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12]	7	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron	5	16	11	11	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934]	8	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came	5	17	12	12	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625]	9	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came bump	5	18	13	13	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625, 13852]	10	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came bump against	5	19	14	14	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625, 13852, 1028]	11	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came bump against an	5	20	15	15	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625, 13852, 1028, 281]	12	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came bump against an ind	5	21	16	16	541	1	3.856179	3	 left	-0.82137	2659	3.379556	0.476623	0.476623	2659	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625, 13852, 1028, 281, 773]	13	0.0	0
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came bump against an indest	5	22	17	17	541	1	3.856179	3	 left	-0.82137	942	3.405348	0.450831	0.450831	942	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625, 13852, 1028, 281, 773, 395]	14	-0.025792	1
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came bump against an indestruct	5	23	18	18	541	1	3.856179	3	 left	-0.82137	942	3.405348	0.450831	0.450831	942	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625, 13852, 1028, 281, 773, 395, 1356]	15	-0.025792	1
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came bump against an indestructible	5	24	19	19	541	1	3.856179	3	 left	-0.82137	942	3.405348	0.450831	0.450831	942	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625, 13852, 1028, 281, 773, 395, 1356, 856]	16	-0.025792	1
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came bump against an indestructible knot	5	25	20	20	541	1	3.856179	3	 left	-0.82137	942	3.405348	0.450831	0.450831	942	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625, 13852, 1028, 281, 773, 395, 1356, 856, 29654]	17	-0.025792	1
J5-541-003	541	3	RIGHT_EXTENSION	1	 right and left; till at last the plane-iron came bump against an indestructible knot.	5	26	21	21	541	1	3.856179	3	 left	-0.82137	942	3.405348	0.450831	0.450831	942	1	[826, 290, 1364, 26, 10597, 379, 938, 262, 6614, 12, 1934, 1625, 13852, 1028, 281, 773, 395, 1356, 856, 29654, 13]	18	-0.025792	1
J5-541-004	541	4	RIGHT_EXTENSION	1	You and I	0	3	3	3	541	1	3.424235	3	 I	1e-06	1210	2.909999	0.514236	0.514236	1210	1	[1639, 290, 314]	0	0.0	0
J5-541-004	541	4	RIGHT_EXTENSION	1	You and I must	0	4	4	4	541	1	3.424235	3	 I	1e-06	592	3.129998	0.294236	0.294236	592	1	[1639, 290, 314, 1276]	1	-0.22	1
J5-541-004	541	4	RIGHT_EXTENSION	1	You and I must understand	0	5	5	5	541	1	3.424235	3	 I	1e-06	592	3.129998	0.294236	0.294236	592	1	[1639, 290, 314, 1276, 1833]	2	-0.22	1
J5-541-004	541	4	RIGHT_EXTENSION	1	You and I must understand one	0	6	6	6	541	1	3.424235	3	 I	1e-06	592	3.129998	0.294236	0.294236	592	1	[1639, 290, 314, 1276, 1833, 530]	3	-0.22	1
J5-541-004	541	4	RIGHT_EXTENSION	1	You and I must understand one another	0	7	7	7	541	1	3.424235	3	 I	1e-06	592	3.129998	0.294236	0.294236	592	1	[1639, 290, 314, 1276, 1833, 530, 1194]	4	-0.22	1
J5-541-004	541	4	RIGHT_EXTENSION	1	You and I must understand one another,	0	8	8	8	541	1	3.424235	3	 I	1e-06	592	3.129998	0.294236	0.294236	592	1	[1639, 290, 314, 1276, 1833, 530, 1194, 11]	5	-0.22	1
J5-541-004	541	4	RIGHT_EXTENSION	1	You and I must understand one another, and	0	9	9	9	541	1	3.424235	3	 I	1e-06	592	3.129998	0.294236	0.294236	592	1	[1639, 290, 314, 1276, 1833, 530, 1194, 11, 290]	6	-0.22	1
J5-541-004	541	4	RIGHT_EXTENSION	1	You and I must understand one another, and that	0	10	10	10	541	1	3.424235	3	 I	1e-06	592	3.129998	0.294236	0.294236	592	1	[1639, 290, 314, 1276, 1833, 530, 1194, 11, 290, 326]	7	-0.22	1
