# generated_utc	2026-08-15T00:50:25+00:00
# script	probe_v13.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	113
case_index	text	position	token_id	token	target_activation	position_winner	position_winner_activation
1	It was cold	0	50256	<BOS>	0.11632	2256	2.36087
1	It was cold	1	1026	It	0.778226	1888	3.132285
1	It was cold	2	373	 was	2.023736	1888	2.29004
1	It was cold	3	4692	 cold	3.433706	38	3.433706
2	It is cold	0	50256	<BOS>	0.11632	2256	2.36087
2	It is cold	1	1026	It	0.778226	1888	3.132285
2	It is cold	2	318	 is	0.365554	1888	2.620062
2	It is cold	3	4692	 cold	2.976745	38	2.976745
3	It felt cold	0	50256	<BOS>	0.11632	2256	2.36087
3	It felt cold	1	1026	It	0.778226	1888	3.132285
3	It felt cold	2	2936	 felt	2.707496	38	2.707496
3	It felt cold	3	4692	 cold	2.890084	38	2.890084
4	The air was cold	0	50256	<BOS>	0.11632	2256	2.36087
4	The air was cold	1	464	The	-0.003507	1888	3.254829
4	The air was cold	2	1633	 air	0.686986	2073	3.009328
4	The air was cold	3	373	 was	1.828277	1951	2.117728
4	The air was cold	4	4692	 cold	3.142888	38	3.142888
5	The room was cold	0	50256	<BOS>	0.11632	2256	2.36087
5	The room was cold	1	464	The	-0.003507	1888	3.254829
5	The room was cold	2	2119	 room	-0.057157	2073	2.735289
5	The room was cold	3	373	 was	0.817266	2265	1.799675
5	The room was cold	4	4692	 cold	2.472686	2761	2.593999
6	Her skin felt cold	0	50256	<BOS>	0.11632	2256	2.36087
6	Her skin felt cold	1	9360	Her	0.407008	1888	3.019273
6	Her skin felt cold	2	4168	 skin	0.243498	1888	2.36588
6	Her skin felt cold	3	2936	 felt	0.748474	373	1.675419
6	Her skin felt cold	4	4692	 cold	2.076799	143	2.156587
7	His voice was cold	0	50256	<BOS>	0.11632	2256	2.36087
7	His voice was cold	1	6653	His	0.232131	1888	3.111165
7	His voice was cold	2	3809	 voice	0.731003	1790	1.721038
7	His voice was cold	3	373	 was	0.683113	1790	2.221934
7	His voice was cold	4	4692	 cold	2.650153	38	2.650153
8	It was a cold decision	0	50256	<BOS>	0.11632	2256	2.36087
8	It was a cold decision	1	1026	It	0.778226	1888	3.132285
8	It was a cold decision	2	373	 was	2.023736	1888	2.29004
8	It was a cold decision	3	257	 a	2.343377	38	2.343377
8	It was a cold decision	4	4692	 cold	2.940873	38	2.940873
8	It was a cold decision	5	2551	 decision	0.883653	1398	2.005675
9	He caught a cold	0	50256	<BOS>	0.11632	2256	2.36087
9	He caught a cold	1	1544	He	1.009083	1888	2.925473
9	He caught a cold	2	4978	 caught	0.914451	1041	2.341042
9	He caught a cold	3	257	 a	0.12365	360	2.133913
9	He caught a cold	4	4692	 cold	0.977773	143	1.722005
10	The Cold War	0	50256	<BOS>	0.11632	2256	2.36087
10	The Cold War	1	464	The	-0.003507	1888	3.254829
10	The Cold War	2	10250	 Cold	0.642811	2073	3.045958
10	The Cold War	3	1810	 War	-0.077681	1187	2.249757
11	The engine made a cold start	0	50256	<BOS>	0.11632	2256	2.36087
