# generated_utc	2026-08-15T00:50:25+00:00
# script	probe_v13.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	64
prompt_id	prompt	treatment	declared_role	neurons	add_value	intervention_mode	max_new_tokens	generated_token_ids	generated_text	full_text	exact_clean_match	first_divergence_step	cold_lexeme_count
1	The desert sun is beating down, the air is	CLEAN	baseline	[]	0.0	ONE_STEP	15	[6546, 351, 15114, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 464, 4252, 318]	 thick with clouds, and the sun is shining.\n\nThe sun is	The desert sun is beating down, the air is thick with clouds, and the sun is shining.\n\nThe sun is	1		0
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	natural-range dose	[38]	2.870398759841919	ONE_STEP	15	[6546, 351, 15114, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 464, 4252, 318]	 thick with clouds, and the sun is shining.\n\nThe sun is	The desert sun is beating down, the air is thick with clouds, and the sun is shining.\n\nThe sun is	1		0
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	autoregressive feedback test	[38]	2.870398759841919	SUSTAINED	15	[6546, 351, 262, 21212, 286, 262, 10326, 13, 383, 4252, 318, 22751, 11, 262, 1633]	 thick with the scent of the desert. The sun is shining, the air	The desert sun is beating down, the air is thick with the scent of the desert. The sun is shining, the air	0	3	0
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	old team at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	ONE_STEP	15	[6546, 351, 15114, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 464, 4252, 318]	 thick with clouds, and the sun is shining.\n\nThe sun is	The desert sun is beating down, the air is thick with clouds, and the sun is shining.\n\nThe sun is	1		0
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	old team feedback test at shared N38-calibrated dose	[38, 1103, 2094]	2.870398759841919	SUSTAINED	15	[6546, 351, 262, 21212, 286, 262, 10326, 13, 383, 4252, 318, 22751, 11, 290, 262]	 thick with the scent of the desert. The sun is shining, and the	The desert sun is beating down, the air is thick with the scent of the desert. The sun is shining, and the	0	3	0
1	The desert sun is beating down, the air is	N38_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38]	10.0	SUSTAINED	15	[6546, 351, 262, 21212, 286, 262, 10326, 13, 383, 4252, 318, 22751, 319, 262, 10326]	 thick with the scent of the desert. The sun is shining on the desert	The desert sun is beating down, the air is thick with the scent of the desert. The sun is shining on the desert	0	3	0
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_LEGACY_PLUS10	labelled legacy replication	[38, 1103, 2094]	10.0	SUSTAINED	15	[4692, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 464, 4252, 318, 22751, 13]	 cold, and the sun is shining.\n\nThe sun is shining.	The desert sun is beating down, the air is cold, and the sun is shining.\n\nThe sun is shining.	0	1	1
1	The desert sun is beating down, the air is	N38_SUSTAINED_NEG_NATURAL	signed direction control	[38]	-2.870398759841919	SUSTAINED	15	[6546, 351, 15114, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 464, 4252, 318]	 thick with clouds, and the sun is shining.\n\nThe sun is	The desert sun is beating down, the air is thick with clouds, and the sun is shining.\n\nThe sun is	1		0
2	The summer sun is fiery, the season is	CLEAN	baseline	[]	0.0	ONE_STEP	15	[5814, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 1537, 644, 611, 345, 821]	 warm, and the sun is shining.\n\nBut what if you're	The summer sun is fiery, the season is warm, and the sun is shining.\n\nBut what if you're	1		0
2	The summer sun is fiery, the season is	N38_ONE_STEP_NATURAL	natural-range dose	[38]	2.870398759841919	ONE_STEP	15	[5814, 11, 290, 262, 4252, 318, 22751, 13, 198, 198, 1537, 644, 611, 345, 821]	 warm, and the sun is shining.\n\nBut what if you're	The summer sun is fiery, the season is warm, and the sun is shining.\n\nBut what if you're	1		0
