# generated_utc	2026-08-15T02:06:36+00:00
# script	probe_v15.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	1049
route_id	full_text	source_start	source_end	source_width	span	realised_n_tok	intended_token_ids	realised_token_ids	roundtrip_stable	destination	target_retained	runner_up	margin	winner_peak	target_peak	target_peak_fraction_of_full	target_peak_pos	target_local_winner	target_local_rank	target_local_margin
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	0	1	1	It	1	[1026]	[1026]	1	1888	0	2256	0.771414	3.132283	0.778225	0.226643	1	0	17	-2.354059
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	1	2	1	 was	1	[373]	[373]	1	1790	0	1888	0.142813	3.289209	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	2	3	1	 cold	1	[4692]	[4692]	1	1888	0	464	0.045351	2.857554	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	3	4	1	 as	1	[355]	[355]	1	1888	0	1790	0.120653	2.794766	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	4	5	1	 Iceland	1	[17333]	[17333]	1	1888	0	2256	0.980291	3.34116	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	5	6	1	—	1	[960]	[960]	1	693	0	1888	0.953339	3.535854	0.197541	0.05753	1	0	191	-3.338314
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	6	7	1	no	1	[3919]	[3919]	1	1888	0	2256	0.107754	2.468623	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	7	8	1	 fire	1	[2046]	[2046]	1	1888	0	2256	0.557151	2.91802	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	8	9	1	 at	1	[379]	[379]	1	1790	0	1888	0.249531	3.157478	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	9	10	1	 all	1	[477]	[477]	1	1888	0	464	0.290326	3.118742	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	11	12	1	the	1	[1169]	[1169]	1	1790	0	1888	0.119972	2.743754	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	12	13	1	 landlord	1	[17335]	[17335]	1	1888	0	1790	0.677308	3.174881	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	13	14	1	 said	1	[531]	[531]	1	1790	0	1888	0.13759	2.988795	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	14	15	1	 he	1	[339]	[339]	1	1790	0	1888	0.418834	3.622033	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	15	16	1	 couldn	1	[3521]	[3521]	1	1888	0	1790	0.343979	3.490747	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	16	17	1	�	1	[447]	[4210]	1	693	0	1888	1.060951	3.559106	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	18	19	1	t	1	[83]	[83]	1	1790	0	1888	0.052558	2.915318	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	19	20	1	 afford	1	[5368]	[5368]	1	1888	0	1790	0.30129	3.179889	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	20	21	1	 it	1	[340]	[340]	1	1888	0	1790	0.278392	3.456257	0.116321	0.033876	0	0	985	-2.244549
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	21	22	1	.	1	[13]	[13]	1	1821	0	1888	0.340501	2.760267	0.116321	0.033876	0	0	985	-2.244549
