# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	3252
case_id	branch	seed_id	variant	carrier_id	string	pos	token	token_id	is_second_member_token	is_completion_token	raw_541	running_541	running_leader	running_margin	raw_top5
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	BARE	wave after wave	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	BARE	wave after wave	1	wave	19204	0	0	-0.131282	-0.000102	1888	0.679401	[[1888, 3.231445], [1790, 2.552044], [1998, 1.5523], [654, 1.352533], [1789, 1.252379]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	BARE	wave after wave	2	 after	706	0	0	-0.073614	-0.000102	1888	0.679401	[[419, 2.157049], [1790, 1.771991], [576, 1.621022], [2883, 1.544467], [1888, 1.522298]]
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	BARE	wave after wave	3	 wave	6769	1	1	3.210715	3.210715	1888	0.02073	[[541, 3.210715], [1738, 3.002623], [2566, 2.379625], [2723, 2.307569], [1691, 2.231869]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	BARE	wave after tide	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	BARE	wave after tide	1	wave	19204	0	0	-0.131282	-0.000102	1888	0.679401	[[1888, 3.231445], [1790, 2.552044], [1998, 1.5523], [654, 1.352533], [1789, 1.252379]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	BARE	wave after tide	2	 after	706	0	0	-0.073614	-0.000102	1888	0.679401	[[419, 2.157049], [1790, 1.771991], [576, 1.621022], [2883, 1.544467], [1888, 1.522298]]
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	BARE	wave after tide	3	 tide	20013	1	1	1.231434	1.231434	1888	0.679401	[[1888, 2.082479], [1790, 1.704493], [1893, 1.620517], [541, 1.231434], [2207, 1.179535]]
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	BARE	wave after window	0	<BOS>	50256	0	0	-0.000102	-0.000102	2256	0.796686	[[2256, 2.36087], [1888, 1.564183], [2787, 0.893099], [1450, 0.853876], [1048, 0.848868]]
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	BARE	wave after window	1	wave	19204	0	0	-0.131282	-0.000102	1888	0.679401	[[1888, 3.231445], [1790, 2.552044], [1998, 1.5523], [654, 1.352533], [1789, 1.252379]]
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	BARE	wave after window	2	 after	706	0	0	-0.073614	-0.000102	1888	0.679401	[[419, 2.157049], [1790, 1.771991], [576, 1.621022], [2883, 1.544467], [1888, 1.522298]]
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	BARE	wave after window	3	 window	4324	1	1	0.773806	0.773806	1888	0.613752	[[1790, 2.617693], [1888, 2.448597], [2167, 1.496225], [2201, 1.328833], [1998, 0.999068]]
