# generated_utc	2026-08-14T20:27:46+00:00
# script	probe_v12.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	32
selection_type	neuron	distance	output_direction_norm	mean_abs_natural_activation	target_output_direction_norm	target_mean_abs_natural_activation	selection_rule	control_mean_activation	case_id	branch	family	prefix	outcome	text	donor_id	n_tok	tokens	token_ids	intervention_pos	intervention_token	previous_pos	outcome_positions	outcome_tokens	outcome_token_ids	clean_541_activation	clean_outcome_logprob	clean_first_outcome_prob	clean_first_outcome_rank	notes
MATCHED_CONTROL	1738	1.052324	4.509369	1.459149	3.92332	3.636271	nearest log-ratio distance on norm and mean abs activation																						
MATCHED_CONTROL	1691	1.105862	2.382432	1.981616	3.92332	3.636271	nearest log-ratio distance on norm and mean abs activation																						
MATCHED_CONTROL	2292	1.110095	3.060039	1.536296	3.92332	3.636271	nearest log-ratio distance on norm and mean abs activation																						
DECLARED_RIVAL	2659		2.9367	2.70327	3.92332	3.636271	v11 recurring winner declared before v12 inference																						
CONTROL_MEAN	541						mean clean 541 activation across completion-injection controls	0.69569																					
CASE									N_ONE_AFTER_ANOTHER	NATURAL_COMPLETION	PRONOMINAL	one after another	 arrived	one after another arrived		4	["one", " after", " another", " arrived"]	[505, 706, 1194, 5284]	3	 another	2	[4]	[" arrived"]	[5284]	4.607873	-9.275339	9.3707e-05	409	strong v11 slot frame
CASE									N_ONE_BY_ONE	NATURAL_COMPLETION	RECURRENT	one by one	 they came	one by one they came		5	["one", " by", " one", " they", " came"]	[505, 416, 530, 484, 1625]	3	 one	2	[4, 5]	[" they", " came"]	[484, 1625]	4.372558	-8.027054	0.036140803	4	strong v9/v11 recurrent frame
CASE									N_HAND_TO_HAND	NATURAL_COMPLETION	RECURRENT	hand to hand	 combat	hand to hand combat		4	["hand", " to", " hand", " combat"]	[4993, 284, 1021, 5249]	3	 hand	2	[4]	[" combat"]	[5249]	3.722814	-1.503959	0.222248627	1	strong v9/v11 recurrent frame
CASE									N_UP_AND_DOWN	NATURAL_COMPLETION	PAIRED	up and down	 the road	up and down the road		5	["up", " and", " down", " the", " road"]	[929, 290, 866, 262, 2975]	3	 down	2	[4, 5]	[" the", " road"]	[262, 2975]	4.121797	-4.835761	0.124352646	1	strong v9/v10 distinct-member frame
CASE									N_AGAIN_AND_AGAIN	NATURAL_COMPLETION	RECURRENT	again and again	 he tried	again and again he tried		5	["again", " and", " again", " he", " tried"]	[17776, 290, 757, 339, 3088]	3	 again	2	[4, 5]	[" he", " tried"]	[339, 3088]	3.340913	-9.304833	0.009151861	15	strong v9/v11 recurrent frame
CASE									N_WAVE_AFTER_WAVE	NATURAL_COMPLETION	RECURRENT	wave after wave	 struck	wave after wave struck		4	["wave", " after", " wave", " struck"]	[19204, 706, 6769, 7425]	3	 wave	2	[4]	[" struck"]	[7425]	3.210715	-11.006979	1.6586e-05	981	v9-attested after frame
CASE									N_SHOULDER_TO_SHOULDER	NATURAL_COMPLETION	RECURRENT	shoulder to shoulder	 they stood	shoulder to shoulder they stood		6	["sh", "oulder", " to", " shoulder", " they", " stood"]	[1477, 17601, 284, 8163, 484, 6204]	4	 shoulder	3	[5, 6]	[" they", " stood"]	[484, 6204]	3.535976	-16.100866	0.000266779	374	strong v9/v11 recurrent frame
CASE									N_ROUND_BARE	NATURAL_COMPLETION	CONTEXT_FRAGILE	round and round	 the ring	round and round the ring		5	["round", " and", " round", " the", " ring"]	[744, 290, 2835, 262, 5858]	3	 round	2	[4, 5]	[" the", " ring"]	[262, 5858]	2.794885	-10.017813	0.024023968	5	v11 bare form; v9 predicts context dependence
CASE									N_ROUND_CONTEXT	NATURAL_COMPLETION	CONTEXT_ASSISTED	 and thus round and round	 the ship	 and thus round and round the ship		7	[" and", " thus", " round", " and", " round", " the", " ship"]	[290, 4145, 2835, 290, 2835, 262, 4074]	5	 round	4	[6, 7]	[" the", " ship"]	[262, 4074]	3.470138	-10.684746	0.049735235	4	exact v9 token-minimum context-assisted form
CASE									N_GO_ROUND_CONTEXT	NATURAL_COMPLETION	CONTEXT_ASSISTED	, go round and round	.	, go round and round.		6	[",", " go", " round", " and", " round", "."]	[11, 467, 2835, 290, 2835, 13]	5	 round	4	[6]	["."]	[13]	3.18504	-2.404848	0.090279187	2	exact v9 token-minimum context-assisted form
