# generated_utc	2026-08-14T18:47:54+00:00
# script	probe_v10.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	522
case_id	branch	seed_id	variant	carrier_id	carrier	leading_prefix	first	connector	second	construction	continuation_id	continuation	string	n_tok	tokens	token_ids	pre_second_body_tokens	second_realised_tokens	completion_pos	completion_token	raw_pre_second_541	raw_completion_541	raw_completion_increment	raw_completion_best_other	raw_completion_best_other_value	raw_completion_margin	peak_541	peakpos_541	peak_token_541	best_other	best_other_peak	signed_541_margin	dest	retained_541	winner_peak	reported_delta	target_peaks_at_completion	baseline_variant	notes	lexical_pair_id
CORE_FACTORIAL__UP_DOWN__CC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CC	BARE			up	and	down	up and down	NONE		up and down	3	["up", " and", " down"]	[929, 290, 866]	2	1	3	 down	-0.056431	4.121797	4.178228	2659	2.999431	1.122366	4.121797	3	 down	2659	2.999431	1.122366	541	1	4.121797	1.122366	1	CC	canonical first × canonical second	
CORE_FACTORIAL__UP_DOWN__CA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	CA	BARE			up	and	window	up and window	NONE		up and window	3	["up", " and", " window"]	[929, 290, 4324]	2	1	3	 window	-0.056431	1.103562	1.159993	1888	2.739391	-1.635829	1.103562	3	 window	1790	2.853054	-1.749492	1790	0	2.853054	0.085895	1	CC	canonical first × arbitrary second	
CORE_FACTORIAL__UP_DOWN__AC__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AC	BARE			gravel	and	down	gravel and down	NONE		gravel and down	4	["g", "ravel", " and", " down"]	[70, 25843, 290, 866]	3	1	4	 down	-0.011602	0.236955	0.248557	638	1.948308	-1.711353	0.236955	4	 down	1888	2.942774	-2.705819	1888	0	2.942774	0.45512	1	CC	arbitrary first × canonical second	
CORE_FACTORIAL__UP_DOWN__AA__BARE__NONE	CORE_FACTORIAL	UP_DOWN	AA	BARE			gravel	and	window	gravel and window	NONE		gravel and window	4	["g", "ravel", " and", " window"]	[70, 25843, 290, 4324]	3	1	4	 window	-0.011602	0.88513	0.896732	1888	2.884317	-1.999187	0.88513	4	 window	1888	2.942774	-2.057644	1888	0	2.942774	0.45512	1	CC	arbitrary first × arbitrary second	
ENDPOINT_CONTROL__UP_DOWN__FULL_FRAME__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FULL_FRAME	BARE			up	and	down	up and down	NONE		up and down	3	["up", " and", " down"]	[929, 290, 866]	2	1	3	 down	-0.056431	4.121797	4.178228	2659	2.999431	1.122366	4.121797	3	 down	2659	2.999431	1.122366	541	1	4.121797	1.122366	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__SECOND_ONLY__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	SECOND_ONLY	BARE					down	down	NONE		down	1	["down"]	[2902]	0	1	1	down	-0.000102	-0.126415	-0.126313	1790	2.588059	-2.714474	-0.000102	0	<BOS>	1790	2.588059	-2.588161	1790	0	2.588059	0.227189	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__CONNECTOR_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	CONNECTOR_SECOND	BARE				and	down	and down	NONE		and down	2	["and", " down"]	[392, 866]	1	1	2	 down	-0.026548	0.088699	0.115247	1790	2.114555	-2.025856	0.088699	2	 down	1790	2.485383	-2.396684	1790	0	2.485383	0.124513	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__FIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_SECOND	BARE			up		down	up down	NONE		up down	2	["up", " down"]	[929, 866]	1	1	2	 down	-0.087442	0.094729	0.182171	1691	1.786234	-1.691505	0.094729	2	 down	1790	2.853054	-2.758325	1790	0	2.853054	0.085895	1	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__ARBFIRST_SECOND__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	ARBFIRST_SECOND	BARE			gravel		down	gravel down	NONE		gravel down	3	["g", "ravel", " down"]	[70, 25843, 866]	2	1	3	 down	-0.06898	-0.081928	-0.012948	447	1.570366	-1.652294	-0.000102	0	<BOS>	1888	2.942774	-2.942875	1888	0	2.942774	0.45512	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__FIRST_REPEAT__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	FIRST_REPEAT	BARE			up		up	up up	NONE		up up	2	["up", " up"]	[929, 510]	1	1	2	 up	-0.087442	-0.134795	-0.047353	1790	2.007631	-2.142425	-0.000102	0	<BOS>	1790	2.853054	-2.853156	1790	0	2.853054	0.085895	0	FULL_FRAME		
ENDPOINT_CONTROL__UP_DOWN__REVERSED__BARE__NONE	ENDPOINT_CONTROL	UP_DOWN	REVERSED	BARE			down	and	up	down and up	NONE		down and up	3	["down", " and", " up"]	[2902, 290, 510]	2	1	3	 up	-0.040641	4.282464	4.323104	2659	3.61678	0.665684	4.282464	3	 up	2659	3.61678	0.665684	541	1	4.282464	0.665684	1	FULL_FRAME		
CORE_FACTORIAL__UP_DOWN__CC__V9_SPACE__NONE	CORE_FACTORIAL	UP_DOWN	CC	V9_SPACE		 	up	and	down	up and down	NONE		 up and down	3	[" up", " and", " down"]	[510, 290, 866]	2	1	3	 down	-0.028836	4.184617	4.213452	2659	2.81232	1.372297	4.184617	3	 down	1790	3.028114	1.156503	541	1	4.184617	1.156503	1	CC	canonical first × canonical second	
