# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	110
branch	native_connector	variant	frame_class	source_provenance	n	retained_541_n	retained_541_rate	raw_completion_541_mean	raw_completion_541_median	peak_541_mean	peak_541_median	signed_541_margin_mean	signed_541_margin_median	completion_is_target_peak_n	member_case_ids
FRAME_CROSS	after	ARBITRARY_DISTINCT	NOVEL_DISTINCT	HELDOUT_FAMILIAR	8	0	0.0	0.073016	-0.006503	0.131704	0.044427	-2.927804	-2.953249	4	["FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__THEY_SAID__NONE"]
FRAME_CROSS	after	ARBITRARY_DISTINCT	NOVEL_DISTINCT	V9_ATTESTED	4	0	0.0	0.347828	0.346633	0.347828	0.346633	-2.690399	-2.594666	4	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THEY_SAID__NONE"]
FRAME_CROSS	after	ARBITRARY_KNOWN	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	8	0	0.0	-0.032396	-0.029919	0.042298	0.015923	-3.017209	-3.045707	4	["FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__THEY_SAID__NONE"]
FRAME_CROSS	after	ARBITRARY_KNOWN	ARBITRARY_DISTINCT	V9_ATTESTED	4	0	0.0	-0.158523	-0.166072	-0.000102	-0.000102	-2.979888	-3.088062	0	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THEY_SAID__NONE"]
FRAME_CROSS	after	ARBITRARY_NO_CONNECTOR	NO_CONNECTOR	HELDOUT_FAMILIAR	8	0	0.0	-0.129579	-0.144656	-0.000102	-0.000102	-3.087375	-3.131131	0	["FRAME_CROSS__AFTER_DAY__ARBITRARY_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE"]
FRAME_CROSS	after	ARBITRARY_NO_CONNECTOR	NO_CONNECTOR	V9_ATTESTED	4	0	0.0	-0.085521	-0.074592	-0.000102	-0.000102	-2.979888	-3.088062	0	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE"]
FRAME_CROSS	after	ARBITRARY_REPEAT	NOVEL_REPEAT	HELDOUT_FAMILIAR	8	0	0.0	1.728774	1.939504	1.728774	1.939504	-1.340923	-1.455814	8	["FRAME_CROSS__AFTER_DAY__ARBITRARY_REPEAT__BARE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_REPEAT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_REPEAT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__ARBITRARY_REPEAT__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__BARE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__THEY_SAID__NONE"]
FRAME_CROSS	after	ARBITRARY_REPEAT	NOVEL_REPEAT	V9_ATTESTED	4	0	0.0	0.839271	0.930198	0.839271	0.930198	-2.166343	-2.377554	4	["FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__BARE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__THEY_SAID__NONE"]
FRAME_CROSS	after	KNOWN_ARBITRARY	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	8	0	0.0	-0.081903	-0.128154	0.016608	-0.000102	-3.026629	-3.023007	1	["FRAME_CROSS__AFTER_DAY__KNOWN_ARBITRARY__BARE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_ARBITRARY__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_ARBITRARY__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_ARBITRARY__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__BARE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__THEY_SAID__NONE"]
FRAME_CROSS	after	KNOWN_ARBITRARY	ARBITRARY_DISTINCT	V9_ATTESTED	4	0	0.0	0.360904	0.275077	0.360904	0.275077	-2.858844	-2.740373	4	["FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__BARE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__V9_SPACE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__THEY_SAID__NONE"]
FRAME_CROSS	after	KNOWN_NO_CONNECTOR	NO_CONNECTOR	HELDOUT_FAMILIAR	8	0	0.0	0.344051	0.183159	0.364404	0.183159	-2.726813	-2.780034	6	["FRAME_CROSS__AFTER_DAY__KNOWN_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_NO_CONNECTOR__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__THEY_SAID__NONE"]
FRAME_CROSS	after	KNOWN_NO_CONNECTOR	NO_CONNECTOR	V9_ATTESTED	4	0	0.0	-0.080571	-0.075674	-0.000102	-0.000102	-3.110629	-3.232399	0	["FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__THEY_SAID__NONE"]
FRAME_CROSS	after	KNOWN_RELATED	RELATED_DISTINCT	HELDOUT_FAMILIAR	8	1	0.125	1.125343	1.098957	1.127704	1.098957	-1.878189	-2.224112	7	["FRAME_CROSS__AFTER_DAY__KNOWN_RELATED__BARE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_RELATED__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_RELATED__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_RELATED__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__BARE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__THEY_SAID__NONE"]
FRAME_CROSS	after	KNOWN_RELATED	RELATED_DISTINCT	V9_ATTESTED	4	0	0.0	1.18941	1.191817	1.18941	1.191817	-2.030339	-2.040481	4	["FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__BARE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__V9_SPACE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THEY_SAID__NONE"]
FRAME_CROSS	after	KNOWN_REPEAT	KNOWN_REPEAT	HELDOUT_FAMILIAR	8	7	0.875	3.711785	3.56125	3.711785	3.56125	0.371151	0.314397	8	["FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__BARE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_DAY__KNOWN_REPEAT__THEY_SAID__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__BARE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__THEY_SAID__NONE"]
FRAME_CROSS	after	KNOWN_REPEAT	KNOWN_REPEAT	V9_ATTESTED	4	1	0.25	3.31029	3.299466	3.31029	3.299466	0.090542	-0.12458	4	["FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__BARE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__V9_SPACE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE", "FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE"]
FRAME_CROSS	and	ARBITRARY_DISTINCT	NOVEL_DISTINCT	HELDOUT_FAMILIAR	4	0	0.0	-0.101205	-0.144966	0.00967	-0.000102	-2.993882	-2.98292	1	["FRAME_CROSS__AND_TIME__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_DISTINCT__THEY_SAID__NONE"]
FRAME_CROSS	and	ARBITRARY_DISTINCT	NOVEL_DISTINCT	V9_ATTESTED	8	0	0.0	1.085378	1.075724	1.085378	1.075724	-1.955276	-2.054685	8	["FRAME_CROSS__AND_ROUND__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_DISTINCT__THEY_SAID__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_DISTINCT__BARE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_DISTINCT__V9_SPACE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_DISTINCT__THE_PHRASE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_DISTINCT__THEY_SAID__NONE"]
FRAME_CROSS	and	ARBITRARY_KNOWN	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	4	0	0.0	0.000717	-0.160894	0.123469	-0.000102	-2.874921	-2.898618	1	["FRAME_CROSS__AND_TIME__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_KNOWN__THEY_SAID__NONE"]
FRAME_CROSS	and	ARBITRARY_KNOWN	ARBITRARY_DISTINCT	V9_ATTESTED	8	0	0.0	0.087241	0.093626	0.10789	0.093626	-2.932765	-3.071126	6	["FRAME_CROSS__AND_ROUND__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_KNOWN__THEY_SAID__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_KNOWN__BARE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_KNOWN__V9_SPACE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_KNOWN__THE_PHRASE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_KNOWN__THEY_SAID__NONE"]
FRAME_CROSS	and	ARBITRARY_NO_CONNECTOR	NO_CONNECTOR	HELDOUT_FAMILIAR	4	0	0.0	-0.123432	-0.118905	-0.000102	-0.000102	-2.971107	-3.002464	0	["FRAME_CROSS__AND_TIME__ARBITRARY_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE"]
FRAME_CROSS	and	ARBITRARY_NO_CONNECTOR	NO_CONNECTOR	V9_ATTESTED	8	0	0.0	-0.154965	-0.157106	-0.000102	-0.000102	-3.051035	-3.23325	0	["FRAME_CROSS__AND_ROUND__ARBITRARY_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE"]
FRAME_CROSS	and	ARBITRARY_REPEAT	NOVEL_REPEAT	HELDOUT_FAMILIAR	4	0	0.0	1.223614	1.290704	1.223614	1.290704	-1.858291	-1.845327	4	["FRAME_CROSS__AND_TIME__ARBITRARY_REPEAT__BARE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_REPEAT__V9_SPACE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_REPEAT__THE_PHRASE__NONE", "FRAME_CROSS__AND_TIME__ARBITRARY_REPEAT__THEY_SAID__NONE"]
FRAME_CROSS	and	ARBITRARY_REPEAT	NOVEL_REPEAT	V9_ATTESTED	8	0	0.0	2.72778	2.784122	2.72778	2.784122	-0.935248	-0.985081	8	["FRAME_CROSS__AND_ROUND__ARBITRARY_REPEAT__BARE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_REPEAT__V9_SPACE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_REPEAT__THE_PHRASE__NONE", "FRAME_CROSS__AND_ROUND__ARBITRARY_REPEAT__THEY_SAID__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_REPEAT__BARE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_REPEAT__V9_SPACE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_REPEAT__THE_PHRASE__NONE", "FRAME_CROSS__AND_AGAIN__ARBITRARY_REPEAT__THEY_SAID__NONE"]
FRAME_CROSS	and	KNOWN_ARBITRARY	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	4	0	0.0	0.444383	0.439291	0.444383	0.439291	-2.645572	-2.63845	4	["FRAME_CROSS__AND_TIME__KNOWN_ARBITRARY__BARE__NONE", "FRAME_CROSS__AND_TIME__KNOWN_ARBITRARY__V9_SPACE__NONE", "FRAME_CROSS__AND_TIME__KNOWN_ARBITRARY__THE_PHRASE__NONE", "FRAME_CROSS__AND_TIME__KNOWN_ARBITRARY__THEY_SAID__NONE"]
FRAME_CROSS	and	KNOWN_ARBITRARY	ARBITRARY_DISTINCT	V9_ATTESTED	8	0	0.0	0.379789	0.200804	0.456423	0.268139	-2.449135	-2.608913	4	["FRAME_CROSS__AND_ROUND__KNOWN_ARBITRARY__BARE__NONE", "FRAME_CROSS__AND_ROUND__KNOWN_ARBITRARY__V9_SPACE__NONE", "FRAME_CROSS__AND_ROUND__KNOWN_ARBITRARY__THE_PHRASE__NONE", "FRAME_CROSS__AND_ROUND__KNOWN_ARBITRARY__THEY_SAID__NONE", "FRAME_CROSS__AND_AGAIN__KNOWN_ARBITRARY__BARE__NONE", "FRAME_CROSS__AND_AGAIN__KNOWN_ARBITRARY__V9_SPACE__NONE", "FRAME_CROSS__AND_AGAIN__KNOWN_ARBITRARY__THE_PHRASE__NONE", "FRAME_CROSS__AND_AGAIN__KNOWN_ARBITRARY__THEY_SAID__NONE"]
FRAME_CROSS	and	KNOWN_NO_CONNECTOR	NO_CONNECTOR	HELDOUT_FAMILIAR	4	0	0.0	-0.128672	-0.161824	-0.000102	-0.000102	-3.041212	-3.088027	0	["FRAME_CROSS__AND_TIME__KNOWN_NO_CONNECTOR__BARE__NONE", "FRAME_CROSS__AND_TIME__KNOWN_NO_CONNECTOR__V9_SPACE__NONE", "FRAME_CROSS__AND_TIME__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE", "FRAME_CROSS__AND_TIME__KNOWN_NO_CONNECTOR__THEY_SAID__NONE"]
