# generated_utc	2026-08-15T02:06:36+00:00
# script	probe_v15.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	79
route_id	text	position	token_id	token	target_activation	position_winner	position_winner_activation	target_local_rank	target_local_margin	is_target_peak
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	0	50256	<BOS>	0.116321	2256	2.360871	985	-2.24455	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	1	1026	It	0.778225	1888	3.132285	17	-2.35406	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	2	373	 was	2.023738	1888	2.290041	2	-0.266304	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	3	4692	 cold	3.433706	38	3.433706	1	1.2539	1
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	4	355	 as	1.615323	2864	3.043905	5	-1.428582	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	5	17333	 Iceland	-0.077709	1888	2.196495	1413	-2.274204	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	6	960	—	0.5614	1888	2.240071	51	-1.678672	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	7	3919	no	-0.065176	298	1.63109	1225	-1.696266	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	8	2046	 fire	0.511484	1888	2.098067	47	-1.586583	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	9	379	 at	0.248693	671	1.842741	193	-1.594049	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	10	477	 all	-0.133092	550	2.351452	2056	-2.484544	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	11	960	—	0.005033	232	2.647706	482	-2.642672	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	12	1169	the	0.74518	1888	2.53537	14	-1.79019	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	13	17335	 landlord	-0.136593	2073	2.304651	2123	-2.441244	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	14	531	 said	0.373063	935	2.033479	94	-1.660417	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	15	339	 he	-0.110425	1100	2.563313	1773	-2.673738	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	16	3521	 couldn	-0.082931	1790	2.251518	1438	-2.334449	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	17	447	�	-0.162826	8	3.29714	2634	-3.459966	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	18	247	�	-0.164846	1790	2.726287	2656	-2.891134	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	19	83	t	-0.133844	2711	2.944247	2095	-3.07809	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	20	5368	 afford	-0.122736	2432	1.82843	1968	-1.951166	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	21	340	 it	-0.059692	1790	2.298602	1118	-2.358294	0
MELVILLE_ICELAND	It was cold as Iceland—no fire at all—the landlord said he couldn’t afford it.	22	13	.	0.331237	1821	2.674171	66	-2.342934	0
MELVILLE_CREAKING	We all heard a faint creaking, as of ropes and yards hitherto muffled by the storm.	0	50256	<BOS>	0.116321	2256	2.360871	985	-2.24455	0
MELVILLE_CREAKING	We all heard a faint creaking, as of ropes and yards hitherto muffled by the storm.	1	1135	We	-0.170021	1888	2.922701	3044	-3.092723	0
MELVILLE_CREAKING	We all heard a faint creaking, as of ropes and yards hitherto muffled by the storm.	2	477	 all	0.310239	936	2.432639	225	-2.122399	0
MELVILLE_CREAKING	We all heard a faint creaking, as of ropes and yards hitherto muffled by the storm.	3	2982	 heard	0.191813	521	2.431526	299	-2.239713	0
MELVILLE_CREAKING	We all heard a faint creaking, as of ropes and yards hitherto muffled by the storm.	4	257	 a	1.34725	2456	2.087409	6	-0.74016	0
