# generated_utc	2026-08-15T01:16:05+00:00
# script	probe_v14.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	13
branch	treatment	declared_role	n	outcome_logprob_change_mean	outcome_logprob_change_median	first_outcome_prob_change_mean	kl_mean	kl_median	first_logit_l2_mean	hidden_final_delta_l2_mean	greedy_changed_n	positive_outcome_logprob_change_n	member_case_ids
PRE_ADJECTIVE_STEERING	ADD_POS_HIGH_38	v13 additive bridge; final value exceeds natural maximum	12	0.542393	0.526072	0.004185266	0.025322595	0.02399982	450.406184	4.608897	2	12	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
PRE_ADJECTIVE_STEERING	ADD_POS_LOW_38	v13 additive bridge; final value may exceed natural maximum	12	0.405153	0.394515	0.003034652	0.014231186	0.013426066	327.674624	3.422249	2	12	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
PRE_ADJECTIVE_STEERING	ADD_POS_MAX_38	v13 additive bridge; final value exceeds natural maximum	12	0.632218	0.615986	0.004970695	0.034301917	0.032591322	534.094828	5.390194	2	12	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
PRE_ADJECTIVE_STEERING	ADD_POS_MED_38	v13 additive bridge; final value may exceed natural maximum	12	0.505496	0.48939	0.003870039	0.022032557	0.020858492	416.815783	4.28899	2	12	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
PRE_ADJECTIVE_STEERING	CLEAN	baseline	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
PRE_ADJECTIVE_STEERING	CLEAN_REPEAT	deterministic duplicate	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
PRE_ADJECTIVE_STEERING	PREVIOUS_SET_HIGH_38	absolute-value position control	12	0.243441	0.296343	0.001485278	0.006062411	0.004396238	107.248676	5.115761	0	11	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
PRE_ADJECTIVE_STEERING	SET_0_38	absolute zero anchor	12	-0.232484	-0.178983	-0.001269127	0.006775984	0.003048768	197.220852	2.043554	0	0	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
PRE_ADJECTIVE_STEERING	SET_HIGH_38	absolute natural-distribution quartile	12	0.343893	0.386288	0.00287854	0.010407418	0.01107042	245.634224	2.707941	2	12	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
PRE_ADJECTIVE_STEERING	SET_LOW_38	absolute natural-distribution quartile	12	0.193233	0.245455	0.001697153	0.003743774	0.004052039	116.780948	1.41422	0	12	["P_IT_WAS_COLD", "P_IT_WAS_WARM", "P_AIR_IS_COLD", "P_AIR_IS_HOT", "P_ROOM_WAS_COLD", "P_ROOM_WAS_DARK", "P_SKIN_FELT_COLD", "P_VOICE_WAS_COLD", "P_SEASON_IS_COLD", "P_SEASON_IS_WARM", "P_WORLD_IS_COLD", "P_WORLD_IS_STRANGE"]
