# generated_utc	2026-08-15T00:50:25+00:00
# script	probe_v13.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	960
prompt_id	prompt	treatment	neurons	add_value	intervention_mode	step	active	generated_token_id	generated_token	intervention_originals	intervention_sets
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	1	0	6546	 thick	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	2	0	351	 with	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	3	0	15114	 clouds	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	4	0	11	,	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	5	0	290	 and	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	6	0	262	 the	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	7	0	4252	 sun	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	8	0	318	 is	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	9	0	22751	 shining	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	10	0	13	.	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	11	0	198	\n	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	12	0	198	\n	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	13	0	464	The	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	14	0	4252	 sun	[]	[]
1	The desert sun is beating down, the air is	CLEAN	[]	0.0	ONE_STEP	15	0	318	 is	[]	[]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	1	1	6546	 thick	[0.5287503004074097]	[3.399148941040039]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	2	0	351	 with	[1.078299880027771]	[1.078299880027771]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	3	0	15114	 clouds	[0.315690279006958]	[0.315690279006958]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	4	0	11	,	[0.8653786778450012]	[0.8653786778450012]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	5	0	290	 and	[1.325562596321106]	[1.325562596321106]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	6	0	262	 the	[1.1294296979904175]	[1.1294296979904175]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	7	0	4252	 sun	[1.261089563369751]	[1.261089563369751]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	8	0	318	 is	[0.5961237549781799]	[0.5961237549781799]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	9	0	22751	 shining	[0.19685202836990356]	[0.19685202836990356]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	10	0	13	.	[0.8772673010826111]	[0.8772673010826111]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	11	0	198	\n	[1.5590707063674927]	[1.5590707063674927]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	12	0	198	\n	[1.4252837896347046]	[1.4252837896347046]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	13	0	464	The	[1.089438796043396]	[1.089438796043396]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	14	0	4252	 sun	[0.6919150352478027]	[0.6919150352478027]
1	The desert sun is beating down, the air is	N38_ONE_STEP_NATURAL	[38]	2.870398759841919	ONE_STEP	15	0	318	 is	[0.5185132026672363]	[0.5185132026672363]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	1	1	6546	 thick	[0.5287503004074097]	[3.399148941040039]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	2	1	351	 with	[1.078299880027771]	[3.9486985206604004]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	3	1	262	 the	[0.315690279006958]	[3.186089038848877]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	4	1	21212	 scent	[0.9181821942329407]	[3.788580894470215]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	5	1	286	 of	[2.1591694355010986]	[5.029568195343018]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	6	1	262	 the	[1.930185317993164]	[4.800583839416504]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	7	1	10326	 desert	[1.743613362312317]	[4.614012241363525]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	8	1	13	.	[0.6886191368103027]	[3.5590178966522217]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	9	1	383	 The	[2.0572633743286133]	[4.927661895751953]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	10	1	4252	 sun	[1.1789162158966064]	[4.049314975738525]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	11	1	318	 is	[1.1145789623260498]	[3.9849777221679688]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	12	1	22751	 shining	[0.6459351181983948]	[3.516333818435669]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	13	1	11	,	[1.317161202430725]	[4.187560081481934]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	14	1	262	 the	[1.0199320316314697]	[3.8903307914733887]
1	The desert sun is beating down, the air is	N38_SUSTAINED_NATURAL	[38]	2.870398759841919	SUSTAINED	15	1	1633	 air	[0.7456534504890442]	[3.6160521507263184]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	1	1	6546	 thick	[0.5287503004074097, 0.1416431963443756, -0.1421850472688675]	[3.399148941040039, 3.0120420455932617, 2.7282137870788574]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	2	0	351	 with	[1.078299880027771, -0.04850905388593674, 2.151346206665039]	[1.078299880027771, -0.04850905388593674, 2.151346206665039]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	3	0	15114	 clouds	[0.315690279006958, -0.020266752690076828, 0.22018863260746002]	[0.315690279006958, -0.020266752690076828, 0.22018863260746002]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	4	0	11	,	[0.8653786778450012, -0.16971568763256073, -0.12070873379707336]	[0.8653786778450012, -0.16971568763256073, -0.12070873379707336]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	5	0	290	 and	[1.325562596321106, -0.08076301962137222, -0.15739090740680695]	[1.325562596321106, -0.08076301962137222, -0.15739090740680695]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	6	0	262	 the	[1.1294296979904175, -0.14368562400341034, -0.13601510226726532]	[1.1294296979904175, -0.14368562400341034, -0.13601510226726532]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	7	0	4252	 sun	[1.261089563369751, -0.11399627476930618, -0.1572217345237732]	[1.261089563369751, -0.11399627476930618, -0.1572217345237732]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	8	0	318	 is	[0.5961237549781799, 0.38568535447120667, -0.021798118948936462]	[0.5961237549781799, 0.38568535447120667, -0.021798118948936462]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	9	0	22751	 shining	[0.19685202836990356, 0.1326397806406021, -0.12034877389669418]	[0.19685202836990356, 0.1326397806406021, -0.12034877389669418]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	10	0	13	.	[0.8772673010826111, -0.14107847213745117, 0.4194430410861969]	[0.8772673010826111, -0.14107847213745117, 0.4194430410861969]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	11	0	198	\n	[1.5590707063674927, -0.06514189392328262, -0.10492462664842606]	[1.5590707063674927, -0.06514189392328262, -0.10492462664842606]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	12	0	198	\n	[1.4252837896347046, -0.15406790375709534, 0.09276231378316879]	[1.4252837896347046, -0.15406790375709534, 0.09276231378316879]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	13	0	464	The	[1.089438796043396, -0.11122537404298782, -0.15588189661502838]	[1.089438796043396, -0.11122537404298782, -0.15588189661502838]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	14	0	4252	 sun	[0.6919150352478027, -0.15974509716033936, -0.1448291540145874]	[0.6919150352478027, -0.15974509716033936, -0.1448291540145874]
1	The desert sun is beating down, the air is	TEAM_ONE_STEP_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	ONE_STEP	15	0	318	 is	[0.5185132026672363, 0.5455021858215332, -0.014865001663565636]	[0.5185132026672363, 0.5455021858215332, -0.014865001663565636]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	1	1	6546	 thick	[0.5287503004074097, 0.1416431963443756, -0.1421850472688675]	[3.399148941040039, 3.0120420455932617, 2.7282137870788574]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	2	1	351	 with	[1.078299880027771, -0.04850905388593674, 2.151346206665039]	[3.9486985206604004, 2.821889638900757, 5.021744728088379]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	3	1	262	 the	[0.315690279006958, -0.020266752690076828, 0.22018863260746002]	[3.186089038848877, 2.8501319885253906, 3.0905873775482178]
1	The desert sun is beating down, the air is	TEAM_SUSTAINED_N38_CALIBRATED	[38, 1103, 2094]	2.870398759841919	SUSTAINED	4	1	21212	 scent	[0.9181821942329407, -0.07779489457607269, -0.16926944255828857]	[3.788580894470215, 2.7926039695739746, 2.70112943649292]
